Seq No.,UDISE Code,School Name,School Location
1,29210316935,SRI SAI VIDYANIKETHAN BYCHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
2,29210332302,SLS SCHOOL OF MODERN WISDOM,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
3,29210316924,GNANA DEEPA ACADEMY(R),"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
4,29210312603,SMT INDIRA GANDHI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
5,29210310104,G D A R S MALIGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
6,29210317036,NANDINI VIDYANIKETHAN RES. SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
7,29210332606,ATAL BIHARI VAJAPAYEE RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
8,29210316704,MINORITY MORARJI DESAI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
9,29210316510,NALANDA RESIDENTIAL INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
10,29210332404,KITTUR RANI CHANNAMMA RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
11,29210302302,MORARJI DESAI RESI. SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
