Seq No.,UDISE Code,School Name,School Location
1,29280206907,YOUNG INDIA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
2,29280202877,VANI INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
3,29280205702,ST ANN'S PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
4,29280208608,GGHPS URDU HEGGANAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
5,29280203249,B.B.M.P. HIGH SCHOOL MARAPPANAPALYA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
6,29280207616,"ST THERESA PU CLG MALLASANDRA ,T DASARAHALLI","State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
7,29280202871,NARAYANA E-TECHNO SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
8,29280203280,SHASTRI DEAF AND DUMB SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
9,29280203251,SRI AMBIKA KANNADA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
10,29280208815,PANCHAJANYA VIDYA PEETHA RAJAJ,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
11,29280200146,GOUTHAM PU C OLLEGE MAHALAKSHMI LAYOUT,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
12,29280208631,VANI SHREE PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
13,29280234903,APPOLLO NATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
14,29280201223,VIVEKA VIDYA KENDRA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
15,29280200401,ASSUMPTION SCHOOL RAJAJINAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
16,29280203572,HAVANUR PUBLIC SCHOOL PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
17,29280235115,THE NEW OXFORD ENG SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
18,29280208642,DEEPASHREE ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
19,29280207904,EMERALD INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
20,29280234905,HOYSALA KANNADA SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH1"
