Seq No.,UDISE Code,School Name,School Location
1,29200413803,KITTURRANI CHENNAMMA RES SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
2,29200401125,N A Pre University College,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
3,29200426801,ASRAMA SHALE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
4,29200411851,EBENEZER INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
5,29200424003,NEW OXFORD PU COLLEGE DODDATHIMMASANDRE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
6,29200417926,MORARJI DESAI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
7,29200433012,AMC AMERICAN PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
8,29200418103,CONSTRUE INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
9,29200405102,REDBRIDGE INTERNATIONAL ACADEMY,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
10,29200413402,NEW BALDWIN INTERNATIONAL RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
11,29200433010,SARALA BIRLA ACODEMY,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
12,29200416906,MADHUKANTHA SCHOOL DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
13,29200406002,SRI GURUKULA PUBLIC SCHOOL RAJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
14,29200434101,SUNRISE INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
