Seq No.,UDISE Code,School Name,School Location
1,29200303653,SIDDARTHA RESIDENTIAL HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
2,29200303654,SRI SIDDARTHA RESIDENTIAL HIGHER PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
3,29200301026,GOVERNMENT RESIDENCIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
4,29200312174,NATIONAL RES SCHOOL JB NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
5,29200309812,LOWRY MEMORIAL(ICSE),"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
6,29200319959,HEGDE NAGARA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
7,29200308918,FARAN PU COLLEGE #16&P-29,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
8,29200309829,LOWRY MEMORIAL PU COLLEGE DOORAVANI NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
9,29200301052,SRI CHAITANYA PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
10,29200321111,S V S FREE RESIDENTIAL SCHOOL VIBHUTHIPURA MATH,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
11,29200300903,INDUS VALLEY PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
12,29200301956,INDIA INTERNATINAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
13,29200303658,NARAYANA E TECHNO KANNADA LOWER PRIMARY SCHOOL CHELIKERE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
14,29200300189,LOWRY MEMORIAL PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
15,29200307505,NEW BALDWIN INTERNATIONAL RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
16,29200307510,NEW BALDWIN INDP PU COL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
17,29200300174,NEW INDUS VALLEY RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
18,29200312031,BGMS SHISHUKUNJ SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
19,29200319961,AMITY BANGALORE SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
20,29200315708,PARI POORNA PRAJNA INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
21,29200301964,KRUPANIDHI RES PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
22,29200311316,RAVINDRA BHARATHI GLOBLE SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
