Seq No.,UDISE Code,School Name,School Location
1,36241700749,TSWREIS (BOYS) KODANGAL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
2,36241301119,TSWREIS BOYS PEDDEMUL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
3,36232101903,THE LEADERS INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
4,36241700746,TWREIS KODANGAL BOYS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
5,36232103221,KGBV CHEVELLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
6,36232103228,"TSWREIS (GIRLS), CHEVELLA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
7,36240601155,TWREIS PARGI GIRLS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
8,36240900907,MJPTBCWREIS BURHANPOOR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
9,36232101104,MJPTBCWREIS GIRLS SHABAD,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
10,36240301610,MJPTBCWREIS (BOYS) NAWABPET,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
