Seq No.,UDISE Code,School Name,School Location
1,36241200309,TSWREIS GIRLS BANTWARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
2,36232000713,NTR JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
3,36232001603,TMREIS (GIRLS) YETHBARPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
4,36232000605,TSWREIS CHILKUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
5,36232002402,"KGBV SCHOOL, NAZEEBNAGAR","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
6,36240201024,TSWREIS GIRLS MOMINPET,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
7,36232001013,SREE SWAMINARAYAN GURUKUL VIDYALAYA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
8,36232002602,SUJATHA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
9,36241490314,TWREIS TANDUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
10,36232000705,NTR MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
