Seq No.,UDISE Code,School Name,School Location
1,29210308701,G LPS KONDENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
2,29210303501,GHPS THINDLU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
3,29210301203,G LPS HOSURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
4,29210313001,GHPS RAYASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
5,29210302502,GHPS ALURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
6,29210305301,G LPS DEVAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
7,29210305602,GLPS URDU HURULAGURKI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
8,29210308401,GHPS YALUVALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
9,29210311001,GHPS GOKARE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
10,29210307601,GHPS KORAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
11,29210316501,GHPS BOODIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
12,29210332603,GGHS DEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
13,29210305601,GHPS HURULAGURKI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
14,29210313504,GHS COMPOSITE YELIYUR,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
15,29210304602,G LPS BHOVIPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
16,29210300901,G LPS SONNENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
17,29210301701,GHPS ARUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
18,29210302701,GHPS SUNNAGHATTA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
19,29210308201,G LPS BHATRENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
20,29210332502,GHPS KORACHARAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
21,29210301901,G LPS BHYRADENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
22,29210316001,G LPS DEVANAYAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
23,29210301601,G LPS MANAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
24,29210309401,GHPS DHARMAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
25,29210316802,G LPS NAGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
26,29210305001,GHPS SINGARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
27,29210315301,G LPS REDDYHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
28,29210308501,G LPS VENKATENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
29,29210302901,GHS BACHHAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
30,29210307901,G LPS PURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
31,29210316602,G LPS HITTARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
32,29210314403,G LPS AMBALIPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
33,29210311401,GHPS UGANAVADI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
34,29210314001,GHPS POLANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
35,29210330501,G LPS PRASANNAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
36,29210306801,G LPS A. RANGANATHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
37,29210310202,G HS BIDALUR,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
38,29210310401,GHPS SAVAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
39,29210304203,GHPS BETTENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
40,29210307101,G LPS DODDA MUDDENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
41,29210314401,GHPS IBASAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
42,29210306301,G LPS GONURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
43,29210314901,G LPS HARALURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
44,29210315701,GHPS MALLEPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
45,29210305901,GHPS VENKATAGIRIKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
46,29210331101,G HPBS KOTE DEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
