Seq No.,UDISE Code,School Name,School Location
1,29210201601,G LPS SONNENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
2,29210212602,G LPS MADAGONDAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
3,29210208102,G LPS TANKASALA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
4,29210221201,G LPS PUTTAYYANA AGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
5,29210218101,G LPS AKKA THAMMANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
6,29210210301,G LPS SONNAMARANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
7,29210214301,GHPS CHIKKA TUMKUR,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
8,29210203301,GHPS KANAKENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
9,29210216101,G LPS BHOOCHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
10,29210222001,G LPS GOWDAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
11,29210210002,G LPS VASUDEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
12,29210211801,G LPS RAGHUNATHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
13,29210209701,G LPS HIRENA GUDDADAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
14,29210213001,G LPS MANDIBYADARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
15,29210220901,G LPS BOKIPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
16,29210225002,G LPS CHENNADEVIAGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
17,29210212202,G LPS MUDDANAYAKANA PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
18,29210200801,GHPS UJJANI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
19,29210224004,G LPS KANASAVADI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
20,29210214401,GHPS MAJARA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
21,29210224915,GHS HULIKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
22,29210224602,G LPS BEERAYYANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
23,29210207601,G LPS BACHHAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
24,29210204702,G LPS BHYRAPURA THANDA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
25,29210219801,G LPS THARABANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
26,29210207803,G LPS PERAMAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
27,29210204201,G LPS BENAKINAMADAGU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
28,29210200301,GHPS DADIGHATTA MADUGU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
29,29210217801,GHPS CHIKKAMANKALALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
30,29210208901,G LPS SADHUMATA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
31,29210209102,G LPS KANIVEPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
32,29210204001,G LPS MALLEGOWDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
33,29210224501,GHPS DODDA KUKKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
34,29210224603,G LPS BANDAYYANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
35,29210221801,G LPS BHYRASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
36,29210202001,GHPS KOTTIGE MACHENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
37,29210209801,GHPS KANCHIGANALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
38,29210206101,G HPS S. NAGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
39,29210219703,G LPS MARI HEGGAYYANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
