Seq No.,UDISE Code,School Name,School Location
1,29210413901,G LPS BISANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
2,29210406303,GHS KORATI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
3,29210401602,GHPS SIDDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
4,29210406701,GHPS MOTHAKADAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
5,29210408101,G LPS CT GOLLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
6,29210415802,G LPS MUGALIPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
7,29210408501,G LPS BHEEMAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
8,29210405401,GHPS NELAVAGILU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
9,29210413701,G LPS DEVASHETTYHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
10,29210420001,GHPS MUTHASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
11,29210408401,G LPS GUNDRAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
12,29210413303,GULPS CHATRIPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
13,29210402401,GHPS GULLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
14,29210417801,G LPS KORALURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
15,29210411801,G LPS INJANAHALLI',"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
16,29210410401,G LPS DABBAGUNTAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
17,29210410501,G LPS M.HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
18,29210407901,G LPS SIDDAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
19,29210418401,GHPS SAMETHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
20,29210400501,G LPS RALAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
21,29210405502,GLPS URDU SIDDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
22,29210420401,G LPS YADAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
23,29210407401,GHPS SHIVANAPURA',"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
24,29210418501,GHPS BHODHANA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
25,29210407201,G LPS ULUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
26,29210403301,GHPS HASIGALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
27,29210414001,G LPS KACHARAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
28,29210402101,GHPS BHAVAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
29,29210407701,G LPS D SHETTYHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
30,29210412701,G LPS GONAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
31,29210410301,GHPS CHIKKANALLALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
32,29210403901,G LPS CHIKKA KOLIGA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
33,29210412702,GULPS GONAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
34,29210407601,GHPS K SATHYAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
35,29210412201,GHPS OROHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
36,29210413401,G LPS GOVINDAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
37,29210408301,G LPS BISANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
38,29210406801,G LPS KONDRAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
39,29210404802,GHPS URDU HINDIGANALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
40,29210402001,GHPS T AGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
41,29210421202,G LPS THATTANUR,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
42,29210411101,GHPS DODDANALLALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
43,29210416901,G LPS HALASAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
44,29210412801,G LPS BELAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
45,29210410001,GHPS MUGABALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
46,29210422002,G LPS GOWTHAM COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
47,29210414301,GHPS MAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
48,29210405809,G PUC NANDAGUDI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
49,29210410901,G LPS ATTURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
50,29210418101,GHPS CHIKKA GATTIGANABBE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
51,29210401801,GHPS DODDA ARALAGERE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
52,29210416801,GHPS DASARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
53,29210422004,G LPS AMBEDKER NAGARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
54,29210415801,G LPS KALLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
55,29210413503,G HS VAGATA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
56,29210422012,G KGMS HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
57,29210406601,G LPS CHOKKASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
58,29210408201,GHPS MALIYAPPANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
