Seq No.,UDISE Code,School Name,School Location
1,29280503822,GKBMS MALLESHWARAM(PRADHANA),"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
2,29280500456,KARNATAKA PUBLIC SCHOOLS KPS JALAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
3,29280501046,GGLPS URDU MARIYAPPANA PALYA SLUM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
4,29280500455,KARNATAKA PUBLIC SCHOOLS GPUC JALAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
5,29280501205,GGHPS URDU BHOOPASANDRA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
6,29280502717,GMPS JAKKARAYANAKERE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
7,29280502806,GHPS ARAMANE NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
8,29280504108,GHS SRIRAMPURAM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
9,29280503312,GMPS NAGASHETTI HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
10,29280503906,GHS SANTEBEEDHI YESHWANTHPUR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
11,29280502450,GGLPS URDU M K NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
12,29280500119,GHPS CHOLNAYAKANAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
13,29280500884,GKHPS GANDHINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
14,29280502716,GHPS RAILWAY COLONY,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
15,29280502715,GGHPS URDU GOPALPURA MAGADI ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
16,29280502714,GGHPS URDU RAMACHANDRAPURA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
17,29280504102,GLPS TAMIL Q BLK SRI RAMPURAM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
18,29280502012,GHPS IISC,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
19,29280502803,GHS PALACE GUTTAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH2"
