Seq No.,UDISE Code,School Name,School Location
1,29200406454,LORVEN SCH,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
2,29200433709,PAVITHRA PUBLIC HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
3,29200415801,GLPS KUMBARANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
4,29200401701,GLPS BIKKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
5,29200425001,GHPS N DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
6,29200417601,GLPS KADA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
7,29200416501,GLPS SONNANAYAKANA PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
8,29200400201,GHPS SUBMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
9,29200419001,GLPS AREHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
10,29200421201,GHPS MALENALLASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
11,29200406601,GHPS T GOLLA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
12,29200401501,GHPS TYAVAKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
13,29200411801,GHPS SINGENA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
14,29200413401,GLPS MENASIGANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
15,29200406001,GHPS RAJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
16,29200423901,GLPS MADAPPANA DODDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
17,29200417903,GHPS URDU ATTIBELE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
18,29200410701,GLPS ICHENGUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
19,29200400801,GHPS KUVEMPU NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
20,29200405101,GHPS S.BINGIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
21,29200427501,GLPS BODARA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
22,29200434001,GLPS S THIMMA SANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
23,29200415501,GLPS H VADDARA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
24,29200404106,GOVT HS MARASUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
25,29200424401,GLPS KAMANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
26,29200434601,GLPS E THIMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
27,29200422801,GLPS PODU,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
28,29200418201,GLPS KAMBALIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
29,29200427201,GLPS NAGAIAHNA DODDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
30,29200430501,GHPS OLD ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
31,29200414301,GHPS THAMMANAYAKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
32,29200407701,GHPS RAMA SAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
33,29200426701,GLPS SOLLEPURA DODDE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
34,29200403701,GLPS AWADADENA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
35,29200427901,GLPS KALANAYAKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
36,29200424901,GHPS THIPPASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
37,29200418701,GHPS DASANA PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
38,29200418301,GLPS M MEDA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
39,29200419002,GLPS AREHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
40,29200402203,GLPS SILK FARM,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
41,29200402201,GHPS BIDARA GUPPE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
42,29200414601,GHPS CHIKKA HOSA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
43,29200413201,GLPS CHOODA SANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
44,29200400601,GLPS GUDDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
45,29200420601,GLPS SAMPANGIRAMANAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
46,29200405301,GLPS NANJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
47,29200431101,GLPS PUMP HOUSE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
48,29200406801,GHPS KAMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
49,29200405201,GHPS KOPPA GATE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
50,29200415101,GLPS NAYANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
51,29200416401,GLPS CHINNAIAHNA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
52,29200403901,GLPS KAWALA HOSA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
53,29200410601,GHPS THIRUMAGONDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
54,29200407501,GHPS IGGALUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
55,29200411101,GHPS GUDDA HATTI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
56,29200420401,GLPS CHATRE KERE (C.K) PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
57,29200401119,GOVT HS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
58,29200417901,GMPS BOYS ATTIBELE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
59,29200419301,GLPS BIDARA GERE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
60,29200406902,GLPS K VADDARA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
61,29200430801,KARNATAKA PUBLIC SCHOOLS GMPS NEW ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
62,29200422203,GHPS BYATARAYANA DODDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
63,29200410501,GHPS YADAVANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
64,29200430803,KARNATAKA PUBLIC SCHOOLS ASB GOVT PRE UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
65,29200431201,GLPS SUDAM NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
66,29200401102,GHPS GIRLS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
67,29200430802,GOVT GIRLS HS ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
68,29200412701,GLPS CHINTHALA MADIVALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
69,29200401401,GLPS SULTHAN PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
70,29200411701,GLPS NARAYANA GHATTA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
71,29200412201,GLPS GOOLIMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
72,29200401101,GHPS BOYS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
73,29200419101,GHPS KARPUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
74,29200413001,GHPS RAYASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
75,29200411302,GHPS MUTHANALLUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
76,29200416901,GMPS (BOYS) DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
77,29200403001,GHPS BYAGADANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
78,29200411201,GHPS ADIGONDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
79,29200410003,GLPS BALAR BANDE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
80,29200415008,GOVT HS HARAGADDE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
81,29200428101,GLPS HONNA KALASAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
