Seq No.,UDISE Code,School Name,School Location
1,29200904358,MODERN COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
2,29200903859,GOVT MODEL PRIMARY SCHOOL MADIWALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
3,29200904006,GHS KONAPPANA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
4,29200912004,GOVT MODEL PRIMARY SCHOOL VENKATAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
5,29200902322,GHPS DOOPANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
6,29200906732,GOVT MODEL PRIMARY SCHOOL WILSON GARDEN,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
7,29200901735,GHPS BERATENA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
8,29200903503,GHPS (K) JOGUPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
9,29200904011,GHPS DODDANAGAMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
10,29200911403,GTEHPS VIVEKANAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
11,29200900425,GHPS VENUGOPAL NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
12,29200904350,GHS EJIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
13,29200912725,GUHS YALLAGONDAPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
14,29200901657,GHPS KODICHIKKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
15,29200902933,GHPS JAMBUSAVARI DINNE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
16,29200904305,GLPS SHEENIVAGILU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
17,29200904127,GULPS URDU GIRLS S R NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
18,29200908205,GOVT MODEL PRIMARY AND HIGH SCHOOL PUTTENHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
19,29200910006,GLPS RAJENDRANAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
20,29200901656,GUMPS URDU MANGAMMANA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
21,29200907709,GGHPS URDU BYRASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
22,29200912723,GGHPS URDU ARABLANE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
23,29200902934,GMPS NEKARARA COLONY,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
24,29200912005,GHPS KSRP KORAMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
25,29200906745,GUMPS CHINNAYANA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
26,29200904904,GULPS URDU SHANTHINAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
27,29200907202,GHPS BANDEPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
28,29200901641,GGHPS URDU BOMMANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
29,29200902415,GLPS MYLASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
30,29200911303,GUHS TANK GARDEN,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
31,29200912618,GHPS KSRTC SHANTHINAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
32,29200912803,GUMPS URDU and HS NEELASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
33,29200910424,GUHPS URDU PARANGIPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
34,29200900212,GKHPS HARI NAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
35,29200912003,GHPS JAKKASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
36,29200903860,GLPS MESTRI PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
37,29200905501,KARNATAKA PUBLIC SCHOOLS GMPS YADIYUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
38,29200900211,GHPS KEMBATHHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
39,29200910007,KARNATAKA PUBLIC SCHOOLS GMPS MARP ADUGODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
