Seq No.,UDISE Code,School Name,School Location
1,36221190160,"GOVT. PS MUSTAFANGR 2, NERA JAMA MASJID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
2,36221191806,"AIDED POLITE UPS AIDED, TADBUND","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
3,36221191880,"AIDED KASTHURBA HS(G) AIDED, DOODH BOWALI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
4,36221191851,"GOVT. HS(B)URDUSHARIF, SHAHGUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
5,36221191882,"AIDED VAIDHIK D P HS AIDED, SHAH ALI BAND","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
6,36221191860,"GOVT. HS(B)CITYLADBAZAR, KISHAN BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
7,36221190154,"GOVT. PS DOODBOWLI (TM), MAHARAJ GUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
8,36221191861,"GOVT. HS(B)SHALIBANDA, SHAH ALI BANDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
9,36221191802,"GOVT.(G) IRANIGALLI, MANDI MIR ALAM","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
10,36221190129,"GOVT. PS DOODBOWLI NO 2, DOODBOWLI NO II","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
11,36221190180,"GOVT. PS(B)MOGALPURA 1, JAHANUMA LANCER","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
12,36221190171,"GOVT. PS MACCA MASJID, MACCA MASIID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
13,36221190199,"GOVT. PS(B)DAREECHEBAWAHE, KISHAN BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
14,36221190142,"GOVT. PS ATCHREDDYNGR I, ACHI REDDY NAGAR 1","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
15,36221191844,"GOVT. HS PETLABURJ, OPP MIRALAM FILTERS","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
16,36221190127,"GOVT. PS RAMNASPURA, RAMNASPURA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
17,36221190165,"GOVT. PS TEEGALKUNTA 1, TEEGAL KUNTA 1","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
18,36221190176,"GOVT. PS SHALIBANDA 2, FALAKNUMA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
19,36221190149,"GOVT. PS S G NAGAR II, SANJAY GANDHI NAGAR 11","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
