Seq No.,UDISE Code,School Name,School Location
1,36221690186,"GOVT. PS TALABMIRJUMLA, TALAB MIR JUMLA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
2,36221690125,"GOVT. PS PATTARKAMAKAN, CHANDRANAGAR COMMUNITY HALL","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
3,36221690108,"GOVT. PS SADATHNAGAR, YESRAB NAGAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
4,36221690110,"GOVT. PS AMANNAGAR AI, AMANNAGAR A-I","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
5,36221692636,"GOVT. HIGH SCHOOL CITY MODEL, CHADERGHAT","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
6,36221692645,"GOVT. HS(B) DAREECHEMATHA, AMAN NAGAR (A)","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
7,36221690121,"GOVT. PS(G) YAKUTPURA, TALABKATTA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
8,36221690187,"GOVT. PS PEDDAGUDA, SRT COLONY,","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
9,36221690116,"GOVT. PS KURMAGUDA, DULEKA NAWAB MAZIL,","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
10,36221692652,"GOVT. HS ALAWAYATEEMA, JAVEED NAGAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
11,36221692639,GOVT. HS(G)CHOWNI NADE ALI BAIG YAKUTPURA,"State : Telangana
District : HYDERABAD
Block : CHARMINAR"
12,36221690185,"GOVT. PS(G)REIN BAZAR, RAIN BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
13,36221600102,"GOVT. GHS CHADERGHAT (NEW) , NOOR KHAN BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
14,36221690102,"GOVT. PS(B)KANDIKALGATE, B N KANDIKAL GATE","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
15,36221692647,"GOVT. HS TEGA, OPP TEEZAB HOTEL, YAKUTPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
16,36221692646,GOVT. HS(B)MOGHALPURA NO II TALAB KATTA,"State : Telangana
District : HYDERABAD
Block : CHARMINAR"
17,36221690126,"GOVT. PS CITY MODEL, KALI KHABAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
18,36221692642,"GOVT. HS(G)CHANCHALGUDA, CHANCHALGUDA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
19,36221690137,"GOVT. PS(B) ALAWAYATEEMA, JAVEED NAGAR, TALAB KATTA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
20,36221692635,"GOVT. HS(G)CHADERGHAT OLD, CHADERGHAT","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
21,36221690130,"GOVT. PS DAREECHEMATHA , AMAN NAGAR A","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
22,36221690123,"GOVT. PS(B)ANDR YAKUTPURA, ANDROON YAKUTHPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
23,36221690128,"GOVT. PS(G)CHATTABAZAR, NOORKHAN BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
24,36221690122,"GOVT. PS(B)IMBL YAKUTPURA, YAKATPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
25,36221692641,"GOVT. HS(B)SULTANSHAHI, NEAR LALAN SAB MOQUE","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
26,36221690112,"GOVT. PS JAVEDNAGAR I, JAVEED NAGAR-I","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
27,36221690189,"GOVT. PS MANDIMIRALAM, MIRALAM MANDI,MAGAR KI BOWLI","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
28,36221690117,"GOVT. PS DEVDI SARVAR JUNG, MANDI MIR ALAM ROAD","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
29,36221690119,"GOVT. PS KAMELAQADEEM, GOVT J C COMPUS","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
30,36221690134,"GOVT. PS(G) DABEERPURA, IMLIBUN YAKUTPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
31,36221692651,"GOVT.HS REIN BAZAR , REIN BAZAR CHAMAN","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
32,36221690133,"GOVT. PS SULTANSHAHI, MURAD MEHAL,TALAB KATTA,","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
33,36221690118,"GOVT. PS(G) LOWER CHANCHALGUDA, CHOWNI","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
34,36221690132,"GOVT. PS TEGA, DABEER PURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
35,36221692644,"GOVT. HS(B)CHANCHALGUDA, CHANCHALGUDA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
36,36221690120,"GOVT. PS (G) KATTALGUDA, CHADERGHAT, HYD","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
37,36221690138,"GOVT. PS BHAVANINAGAR, BHAVANI NAGAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
38,36221692648,"GOVT. HS SULTANSHAHI, SULTHAN SHAHI","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
39,36221690191,"GOVT. PS CHAWNI N BAIG II, UPPER BASTI CHAWNI","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
40,36221690131,"GOVT. PS(B)MOGHALPURA II, MOGHALPURA-II","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
41,36221690136,"GOVT. PS REINBAZAR, YAKUTPURA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
42,36221692637,"GOVT. HS(G)CITYCHATTABAZAR, NOOR KHAN BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
43,36221690135,"GOVT. PS MOGALPURA III, TALAB KATTA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
44,36221690106,"GOVT. PS(B)YAKUTPURA, BADA BAZAR","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
45,36221690140,"AIDED PRINCESS DURRESHEWAR PS AIDED, CHANCHALGUDA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
46,36221690111,"GOVT. PS AMANNANAGAR AII, AMANNAGAR A II","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
47,36221690114,"GOVT. PS ALINAGAR, OPP:UNIQUE UNIQUE HIGH SHOOL","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
48,36221692725,"AIDED MODEL UPS AIDED, BAGH E JEHAN ARA","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
49,36221692650,"GOVT. HS MOGALPURA NO 3, DHOBIGHAT","State : Telangana
District : HYDERABAD
Block : CHARMINAR"
