Seq No.,UDISE Code,School Name,School Location
1,36221590122,"GOVT. PS GOLCONDA (U), GOLCONDA WEST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
2,36221590170,"GOVT. PS TOLICHOWKI, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
3,36221590111,"GOVT. PS MARWADILANE, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
4,36221590123,"GOVT. PS GOLCONDA(T), GOLCONDA EAST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
5,36221590124,"GOVT. PS(G) 2ND LANCER, GOLCONDA EAST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
6,36221590182,"GOVT. HS SMHM HASHIMNAGAR,LANGAR HOUSE , WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
7,36221590108,"GOVT. PS KISHANGUDA, LANGER HOUSE (PARK)","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
8,36221590171,"GOVT. PS MUFEEDUNNISWAN, MOTIMAHAL GOLCONDA EAST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
9,36221590181,"GOVT. HS(B)2ND LANCER, WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
10,36221590155,"GOVT. PS BRAHMANWADI, NANAL NAGAR GOLCONDA","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
11,36221590110,"GOVT. PS IBRAHIMNAGH, GOLCONDA WEST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
12,36221590112,"GOVT. PS DARGANAGAR, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
13,36221590179,"GOVT. HS(G) 2ND LANCER, WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
14,36221590177,"GOVT. HS GOLCONDA(U), WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
15,36221592601,GOVT.HS MUFEED UN NISWAN,"State : Telangana
District : HYDERABAD
Block : GOLCONDA"
16,36221590116,"GOVT. PS RAMDEVGUDA, GOLCONDA WEST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
17,36221590117,"GOVT. PS SALEHNAGAR, GOLKONDA EAST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
18,36221590127,"GOVT.PS SMHM HASHIMNAGAR, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
19,36221590180,"GOVT. HS LANGERHOUSE (TELUGU), WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
20,36221590106,"GOVT. PS KUMARWADI, GOLCONDA EAST (FORT)","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
21,36221590104,"GOVT. PS BANJARIDARWAJA, GOLCONDA WEST","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
22,36221590125,"GOVT. PS LANGERHOUSE, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
23,36221590126,"GOVT. PS(B)2ND LANCER, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
24,36221590178,"GOVT. HS GOLCONDA(T), WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
25,36221590103,"GOVT. PS AMBEDKARNAGAR, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
26,36221590121,GOVT. PS HEERA KHANA MOTI DARWAZA GOLCONDA EAST,"State : Telangana
District : HYDERABAD
Block : GOLCONDA"
27,36221590173,"SPECTRUM SCHOOL, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
28,36221592599,NEW HORIZON HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : GOLCONDA"
29,36221590197,"ST ANTHONY HIGH SCHOOL, BAPU NAGAR, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
30,36221592627,AZAD KIDS SCHOOL,"State : Telangana
District : HYDERABAD
Block : GOLCONDA"
31,36221590162,"QUEEN MARYS U P SCHOOL, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
32,36221592630,BRILLIANCE SCHOOL,"State : Telangana
District : HYDERABAD
Block : GOLCONDA"
33,36221500164,"RELIANCE HIGH SCHOOL, MD LINES","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
34,36221590199,"MALIKA BOYS TOWN HIGH SCHOOL, WARD NO 9, LANGER HOUSE","State : Telangana
District : HYDERABAD
Block : GOLCONDA"
