Seq No.,UDISE Code,School Name,School Location
1,36220390223,"GOVT. PS LALAPET, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
2,36220390203,"GOVT. PS(B)LALAGUDA NO-2 , MASJID AIREA LALAGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
3,36220390201,"GOVT. PS(B)MAREDPALLYEAST, OPP PADMASHALI KALYANA MANDEPA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
4,36220390604,"GOVT. HS(G)LALAPETMARKET, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
5,36220390213,"GOVT. PS(G)CHILKALGUDA, CHILKALAGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
6,36220390211,"GOVT. PS(G)SITHAPLAMANDI, A.P.D.D.C. QTS, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
7,36220390207,"GOVT. PS CHANDRABABUNAGAR, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
8,36220390602,"GOVT. HS LALAPET, MAREDPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
9,36220390212,"GOVT. PS(B)METTUGUDA, RAVINDRA NAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
10,36220390210,GOVT. PS(B) ARYAVATIKA VINOBHANAGAR LALAPET,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
11,36220390209,"GOVT. PS(CPES)CHILKALGUDA, A.C.NAGAR, ADDAGUTTA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
12,36220390603,GOVT. HS(G)WESTMARREDPALLY PADMASHALIKALYANAMANDAPAM,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
13,36220390202,"GOVT. PS(B)MAREDPALLYWEST, NEAR POLICE STATION","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
14,36220390214,"GOVT. PS AMBEDKARNAGAR, NEAR RAIL NILAYAM","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
15,36220390654,"AIDED SRI SANKARA V PS AIDED, ORIENTAL SCHOOL SANSKRIT","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
16,36220390224,"GOVT. PS(G)MARKETLALAPET, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
17,36220390116,"GOVT. PS(B)CHILAKAL GUDA, AC NAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
18,36220390117,"GOVT. PS(B)LALAGUDANO I, ADDAGUTTA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
19,36220390606,"TSWREIS JC(G) FOR GIRLS MAHENDRA HILL, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
20,36220390655,"GOVT. HS MPBAGH, ABOVE MRO OFFICE","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
21,36220390204,GOVT. PS MG NAGAR AOC GATE EAST MARREDPALLY,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
22,36220390234,"AIDED RAILWAY CLY PS AIDED, CHILKALGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
23,36220390104,"AIDED RAILWAY COLONY HIGH SCHOOL , CHILKALGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
24,36220390231,"AIDED SAROJINI PS AIDED, THUKARAMGATE","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
25,36220390610,"AIDED PRAGATHI HS AIDED, MYLARGADDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
26,36220390612,"AIDED WESLEY HS(G) AIDED,OLD LANCER ROAD","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
27,36220390615,"AL-FALAH SCHOOL SHANTHI , ARYANAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
28,36220390102,"AIDED MOHAN A.V UPS AIDED, ALUGADDA BAVI","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
29,36220390613,"AIDED ST D S M S AIDED, ST NO 8,TARNAKA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
30,36220390611,"AIDED SEETHAFAL MANDI HS AIDED, SEETHAFALAMANDI","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
31,36220390631,"VIDYA MANDIR HIGH SCHOOL, (RECOGINSED BY THE GOVT OF AP","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
32,36220390639,"SANGHI VIDYANIKETAN HIGH SCHOOL, VIDYA MANDIR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
33,36220390670,"R.M HIGH SCHOOL, WEST MAREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
34,36220390676,"VIDYAVAHINI HS,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
35,36220390677,FAUST HIGH SCHOOL EAST MARREDPALLY,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
36,36220390679,"SRI SAI VIDYARTHI HS,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
37,36220390635,"G.R. GRAMMAR HIGH SCHOOL, WEST MAREDPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
38,36220390638,"ST.JUDES HIGH SCHOOL, ST NO 11,TARNAKA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
39,36220390247,"ST.MARKS PRIMARY SCHOOL, WEST MARREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
40,36220390261,"DAVID MEMORIAL PRIMARY SCHOOL, TARNAKA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
41,36220390299,"DELHI PUBLIC PS, MAHENDRA HILLS","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
42,36220390293,"SURYAVANSH MODEL SCHOOL, NORTH LALAGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
43,36220390268,"NARAYONA CONCEPT P S, STREET NO 11","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
44,36220390131,GNANAJYOTHI PS TEACHERS COLONY,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
45,36220390145,AMRUTHAVARSHINI SCHOOL,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
46,36220390182,BLUE EYE MODEL UPS LALAPET,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
47,36220390614,"SAROJINI NAIDU MEMORIAL , SEESHACHALA COLONY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
48,36220390680,"JOHNSON GRAMMER UPS, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
49,36220390683,"SR. HIGH SCHOOL, WEST MARREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
50,36220390621,"AUXILIUM HIGH SCHOOL, T M COLONY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
51,36220390627,"VIDYA VIHAR HIGH SCHOOL, SCRWOMENS ORGANISATION","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
52,36220390624,"ST JOHNS CHURCH HIGH SCHOOL, EAST MARREPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
53,36220390286,"ST.ANNS CO-EDUCATIONAL SCHOOL, WEST MARRAD PALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
54,36220390623,"SHIRDI SAI BABA HIGH SCHOOL, SAI NAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
55,36220390144,KHAMMAM SRI CHAITANYA SCHOOL,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
56,36220390626,"ST MARKS HIGH SCHOOL, TUKARAMGATE","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
57,36220390122,SARASWATHI VIDYAA NIKETHAN,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
58,36220390107,"MID WEST INDIA SCHOOL, WEST MAREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
59,36220390640,"SANDEEPAM VIDYALAYA HIGH SCHOOL, TARANAKA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
60,36220390136,"GEETANJALI HS, HYDERABAD M.CORPORATION","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
61,36220390118,"OM SAI NIKETHAN HS, METTUGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
62,36220390120,"LILLY MODEL HS, MAREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
63,36220390644,"VIDYODAYA HIGH SCHOOL, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
64,36220390672,"ST JUDES PS SCHOOL , TARANAKA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
65,36220390641,"VAIDEHI(D P) HIGH SCHOOL, SHANTHI NAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
66,36220390630,"SHEBA AND LATHA HIGH SCHOOL, SHANTHINAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
67,36220390625,"ST.JOSEPHS HIGH SCHOOL, CHILKAGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
68,36220390619,"SACRED HEART HI SCHOOL , SOUTH LALLAGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
69,36220390684,"MS.CREATIVE HIGH SCHOOL, SEETHAFALMANDI","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
70,36220390674,NARAYANA OLYMPIAD SCHOOL TARNAKA,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
71,36220390646,"NARAYANA HIGH SCHOOL, STREET NO.8","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
72,36220390633,"SUBRAHMANYA MODEL HIGH SCHOOL, INDIRA NAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
73,36220390620,"ST. MARKS HIGH SCHOOL , WEST MARREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
74,36220390181,NARAYANA CONCEPT SCHOOL TARNAKA,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
75,36220390290,"VIDYA VAHINI U P SCHOOL, NANDANAR NAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
76,36220390636,"ST.ANNS HIGH SCHOOL, MAREDPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
77,36220390678,"LITTLE HEARTS UPS,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
78,36220390634,"GOWTHAM MODEL SCHOOL, GVR LAXMI NIVAS","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
79,36220390288,"VIDYA SAGAR UP SCHOOL, ADDAGUTTA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
80,36220390143,"SRI CHAITANYA SCHOOL, HYDERABAD M.CORPORATION","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
81,36220390138,"KRISHNAVANI TALENT HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
82,36220390283,"ST.SAI CHILDRENS U P S, WEST MARADEPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
83,36220390269,"NARAYANA CONCEPT P S, L G LOWER ,STREET NO 8","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
84,36220390294,"SRI SAI VIDYARTHI UPS, TUKARAM GATE","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
85,36220390139,"SRI CHAITANYA HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
86,36220390685,"GOWTHAM MODEL SCHOOL,SETHAFALMANDI","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
87,36220390119,"PRAGATHI HS, TUKARAM GATE","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
88,36220390121,"ST FRANCIS CONVENT HIGH SCHOOL, MAHENDRA HILLS","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
89,36220390673,"ASHRAY MODEL HIGH SCHOOL, Marredpally","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
90,36220390628,"ST.FRANCIS DE SALES HIGH SCHOOL, SHANTINAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
91,36220390656,"ST MICHAELS SCHOOL, ENTRENCHMENT STREET NO 5","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
92,36220390649,SACRED HEART SCHOOL EAST MARREDPALLY,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
93,36220390687,"ST.AGNES SCHOOL,METTUGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
