Seq No.,UDISE Code,School Name,School Location
1,36221490102,"GOVT. PS JAWAHARNAGAR, GANDHINAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
2,36221490305,"AIDED MODEL HIGH SCHOOL, AIDED, OU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
3,36221490301,"AIDED C.RAMCHAND GIRLS PRIMARY SCHOOL, ANDHRA MAHILA SABA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
4,36221492353,"GOVT. HS KAWADIGUDA, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
5,36221492352,"GOVT. HS NALLAKUNTA, BEHIND NALLAKUNTA PS","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
6,36221492350,GOVT. HS(B)JAMISTANPUR( M K NAGAR),"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
7,36221490114,"GOVT. PS KAWADIGUDA, MUSHEERABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
8,36221490304,"GOVT. HS JAMA - E - OSMANIA, SRT-33,VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
9,36221492306,"GOVT. PS ADIKMET, C/O.JAMIA OSMANIA HIGH SCHOOL","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
10,36221490112,"GOVT. PS(B)SITAFALMANDI 3, WARASIGUDA,SEETHAPALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
11,36221490113,"GOVT. PS MUSHEERABAD, MUSHEERABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
12,36221492301,"GOVT. PS ZAMISTANPUR, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
13,36221492349,"GOVT. HS SITAFALMANDI, SITHAPHALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
14,36221492486,"GOVT.HS ZAMISTANPUR, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
15,36221490108,"GOVT. BPS SEETHAFALMANDI 1, SEETHAPHALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
16,36221490204,"GOVT. PS JAMAIOSMANIA, VIDYANAGAR,ZAMI OSMANIA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
17,36221492491,"GOVT. SHANKER BHAGATH, M.K NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
18,36221490202,"GOVT. PS MUGGUBASTI, KAVADIGUDA,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
19,36221492305,"GOVT. PS CHIKKADPALLY, VIDYANAGAR,CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
