Seq No.,UDISE Code,School Name,School Location
1,36220690160,"AIDED MARWADI HV PS AIDED, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
2,36220690934,"GOVT. MGM GGHS NAMPALLY, BESID BORD OF INTERMEDIATE EDU","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
3,36220691015,"AIDED GYAN PB HS AIDED, CHANDANWADI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
4,36220690143,"AIDED ALLEN PS AIDED, WESLEY CHURCH,RAMKOTE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
5,36220690109,GOVT.PS RAMKOTI (EM) RAMKOTI,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
6,36220690936,GOVT.HS(G) MAHBOOBIA MAHBOOBIA,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
7,36220690110,"GOVT. PS(B)RISALABDULLA, 5-5-340/1,RISALA BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
8,36220690101,"GOVT. PS(B)TROOPBZR, TROOP BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
9,36220690114,"GOVT. PS(B)MAHARAJGUNJ, MAHARAJGUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
10,36220690901,"GOVT. PS(B)AGHAPURA D-W, AGHAPURA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
11,36220690921,"GOVT. HS NAYABAZAR, SULTAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
12,36220690112,"GOVT. PS(EL)BASANTHAGIRI, BASANTHAGIRIBAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
13,36220690195,GOVT.PS RAMKOTI (TM) RAMKOTI,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
14,36220690105,"GOVT. PS(B)DHOOLPET I, DHOOLPET NO1","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
15,36220690104,"GOVT. PS(B)BAZALEJUMMED, BAZAL E JUMMED","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
16,36220690925,"GOVT. HS(GB)GOSHAMAHAL, GOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
17,36220690917,"GOVT. PS CHANDRA S AZAD , MACHILIPURA NALA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
18,36220690935,"GOVT. HS(B)ALIYA, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
19,36220690124,"GOVT. PS(M)ALIYA,GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
20,36220690940,"GOVT. HS(B)ESAMIABAZAR, ESAMIA BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
21,36220690127,"GOVT. PS SHAHINAYATHGUNJ, SHAH INAYATH GUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
22,36220690108,"GOVT. PS(B)HGOSHAMAHAL, GOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
23,36220690938,"GOVT. HS(M)ALIYA, ALIYA,OPP:L B STADIUM","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
24,36220690933,"GOVT. GHS(T )NAMPALLY, BAZARGHAT","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
25,36220690122,"GOVT. PS(B)ESAMIA BAZAR, ESAMIYA BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
26,36220690928,"GOVT. HS SHAHINAYATHGUNJ, SHAH INAYATH GUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
27,36220690924,"GOVT. HS(B)SULTANBAZAR, SULTHAN BAZAR,KOTI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
28,36220690121,"GOVT. PS(GB)GOSHMAHAL, GOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
29,36220690115,"GOVT. PS(B)B SITARAMPET, SEETHARAMPET","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
30,36220690111,"GOVT. PS DARGASHAKAMUSH, DARGASHAH KHAMOOSH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
31,36220690119,"GOVT. PS POLICELINE,GOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
32,36220690129,"GOVT. PS NAYABAZAR, NAYAZBAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
33,36220690117,"GOVT. PS(G)(T)NAMPALLY,BAZARGHAT","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
34,36220690107,"GOVT. PS(B)KUCHECHIRAGALLI,CHIRAG ALI LANE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
35,36220690113,"GOVT. PS MJMARKET, OSMANGANJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
36,36220690927,"GOVT. HS(B)KUNTA ROAD, MAHARAJGUNJ,BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
37,36220690103,"GOVT. PS(B)SAIFABAD, REDHILLS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
38,36220690197,"GOVT. M UPS NAMPALLY, NEAR GANDHI BHAVAN","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
39,36220690931,"GOVT. HS(GB)NAMPALLY, GANDHIBHAVAN","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
40,36220690937,"GOVT. HS(B)GOSHAMAHAL, OSMANGUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
41,36220690922,"GOVT. HS(G) SULTANBAZAR, SULTHAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
42,36220690198,"GOVT. PS JANGLIVITOBA, GOWLIGUDA,JANGALI VITOBA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
43,36220690120,"GOVT. PS(B)SULTHANBZR, SULTHAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
44,36220690930,"GOVT. HS(B)CHADARGHAT NO.II, CHEERAALI LANE, ABIDS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
45,36220690196,"GOVT. PS(B)CHUDIBAZAR, CHUDI BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
46,36220690102,"GOVT. PS(B)NAMPALLY II, REDHILLS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
47,36220690128,"GOVT. PS KUNTAROAD, GPS.POLICE LINEQUARTERS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
48,36220690125,"GOVT. PS(G)MAHABOOBIA, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
49,36220690950,"AIDED L M G HS AIDED, BEGAM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
50,36220690137,"AIDED SRI SAVITRI K PS(AIDED), MAHARAJ GUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
51,36220690956,"AIDED SRIHANUMAN VS HS AIDED, NAMPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
52,36220690149,"AIDED NAVJIVAN BV PS AIDED,RAMKOTE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
53,36220690131,"AIDED SHARADHA KK PS(AIDED), OPP CLOCK TOWER","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
54,36220690148,"AIDED GYANPRAKASH BV PS AIDED, GOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
55,36220690153,"AIDED ANDHRA VIDY PS AIDED,KATTELMANDI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
56,36220690947,"AIDED RBS BANSILAL B HS AIDED, BEGAM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
57,36220690139,"AIDED ARYAKANYA VIDY PS AIDED, HANUMAN TEKDI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
