Seq No.,UDISE Code,School Name,School Location
1,36220790108,"GOVT. PS AMBEDKAR NAGAR(PADMALAYA), FILM NAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
2,36220790115,"GOVT. PS DEVARAKONDABASTI, R NO 5.","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
3,36220790140,"GOVT. PS VINAYAKNAGAR, VINAYAKA NAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
4,36220790217,"GOVT. PS BANJARA HILLS , BANJARA HILLLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
5,36220790236,"GOVT. PS IBRAHIM NAGAR, SHAIKPET","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
6,36220790116,"GOVT. PS HAKEEMPETKUNTA, TOLICHOWKI","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
7,36220790122,"GOVT. PS KHAIRATHABAD II , G B P S KHAIRATA BAD NO.II","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
8,36220790148,"GOVT.PS HINDI NAGAR, HINDINAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
9,36220790107,"GOVT. PS BJR NAGAR, FILM NAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
10,36220790104,"GOVT. PS MG NAGAR, FILM NAGAR, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
11,36220790160,"GOVT. HS CHOWRAHJINSI, TOLICHOWKI,NEAR SANA HOTL","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
12,36220790161,"GOVT. HS SHIAKPET, SHAIKPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
13,36220790162,"GOVT. HS FILMNAGAR, JUBLIHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
14,36220790117,"GOVT. PS MRC COLONY, FILM NAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
15,36220790113,"GOVT. PS INDIRANAGAR, INDIRANAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
16,36220790230,"GOVT. HS BANJARA HILLS RD NO 7, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
17,36220790297,GOVT PS VENKATAGIRI UDAYNAGAR,"State : Telangana
District : HYDERABAD
Block : SHAIKPET"
18,36220790123,"GOVT. UPS HAKIMSHANAGAR, BEHIND BRINDAVN COLONY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
19,36220790121,"GOVT. PS DURGABHAVANI NAGAR(TM), GURGA BHAVANI NAGAR (EM)","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
20,36220790229,"GOVT. HS NBT NAGAR (GOWLI GUDA), BANJARA HILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
21,36220790124,"GOVT. PS CHOWRAJHANSI, NEAR SANA HOTEL","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
22,36220790112,"GOVT. PS NBT NAGAR, BANJARAHIL","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
23,36220790106,"GOVT. PS AMBEDKARNAGAR, AMBEDKAR NAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
24,36220790163,"TSWREIS SHAIKPET, THIJAPEN","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
25,36220790125,"GOVT. PS SHAIKPET(VIL), SHAIKPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
26,36220790120,"GOVT. PS NB NAGAR, N B NAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
27,36220790119,"GOVT. PS DURGABAVANINAGAR (EM), FILM NAGAR,JUBLI HILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
28,36220790150,"NEW BUDS SCHOOL, SRIRAMNAGAR BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
29,36220790244,"SVR EDUCATIONAL ACADAMY HS, NBT NAGAR RD NO12","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
30,36220790239,"SRI SARASWATHI HS, GOWRI SHANKAR CLY, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
31,36220790274,"LEAD GRAMMAR HIGH SCHOOL,DIAMOND HILLS, HAKEEMSHA CLY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
32,36220790273,"GLORIOUS HIGH SCHOOL, RD NO.10, ZAHARANAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
33,36220790199,SSRGS SCHOOLINDIRA NAGAR,"State : Telangana
District : HYDERABAD
Block : SHAIKPET"
34,36220790198,TARAPOREWALLAS MONTESSORI HOUSE OF CHILDREN,"State : Telangana
District : HYDERABAD
Block : SHAIKPET"
35,36220790294,STAR GLOBAL SCHOOL,"State : Telangana
District : HYDERABAD
Block : SHAIKPET"
36,36220790168,"NEO HOLY FATIMA HIGH SCHOOL, BRINDAVAN COLONY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
37,36220790295,"LITTLE ROSES HIGH SCHOOL, NOR NAGAR, RD NO.10 BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
38,36220700109,"USHODAYA HIGH SCHOOL,SHAIKPT VINAYAKNAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
39,36220700121,"ST MICHAELS SCHOOL, LAXMAN NAGAR CLY SKPT","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
40,36220790268,"ENRICH SCHOOL, NABI CLY, TOLICHOWKI","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
41,36220790270,"ST NIZAMS HIGH SCHOOL, RD NO 10 BANJARA HILLS IAS CLY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
42,36220790215,"KHUSHBOW PRIMARY SCHOOL, NANDINAGAR, BANJARA HILLLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
43,36220700117,"VISHWA BAHARATHI MODEL SCHOOL, DBNAGAR, FILMNAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
44,36220700132,"GOOD CITIZENs CONCEPT SCHOOL, VENKATAGIRI","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
45,36220700101,"IAS SCHOOL (UPS), PARAMOUNT HILLS, TOLICHOWKI","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
46,36220790247,"JOSHUA SCHOOL UPS, SVR NAGAR RD NO14, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
47,36220790272,"NOON HIGH SCHOOL, FATIMA NAGAR CLY, TOLICHOWKI","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
48,36220790291,"LOVE DALE INTERNATIONAL SCHOOL, UDAYNAGAR, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
49,36220700140,AL FAARAAN SCHOOL TOLICHOWKI,"State : Telangana
District : HYDERABAD
Block : SHAIKPET"
50,36220790237,"LTTLE STAR HIGH SCHOOL GAYATRIHILLS, JUBILEEHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
51,36220790276,"CHANAKYA SCHOOL (HS), SHAIKEPT VIL","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
