Seq No.,UDISE Code,School Name,School Location
1,36210600640,GOVT.HS SANATHNAGAR OLD,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
2,36210600301,MPPS ZINKALAWADA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
3,36210600609,GOVT. PS IG PURAM UM,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
4,36210600607,GOVT.PS BK GUDA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
5,36210600634,MARVEL SCHOOL BEGUMPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
6,36210600628,GOVT.PS(G) HYD,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
7,36210600606,GOVT. PS IG PURAM TM,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
8,36210600657,GOVT.HS SANATHNAGAR (RT),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
9,36210600610,GOVT.PS SANATH NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
10,36210600405,GOVT. UPS ZEERA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
11,36210600641,GOVT.HS B.K GUDA (U/M),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
12,36210600102,MPPS LB NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
13,36210600810,MPPS BALANAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
14,36210600702,MPPS FEROZ GUDA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
15,36210600808,MPPS CBR NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
16,36210600501,MPPS RAMARAO NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
17,36210600828,ZPHS BALANAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
18,36210600213,ZPHS HASMATHPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
19,36210600202,MPPS HASMATHPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
20,36210600201,MPPS HASMATPET UM,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
21,36210600509,MPPS BABBUGUDA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
22,36210600302,MPPS PRABHAKAR REDDY,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
23,36210600604,MPPS FATHE NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
24,36210600111,"COVELLS HIGH SCHOOL, HS OLD BOWENPALLY","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
25,36210600522,AIDED NETAJI UPS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
26,36210600703,MPPS GOWTHAMNAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
27,36210600603,MPPS V T NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
28,36210600104,MODERN MISSION HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
29,36210600110,MPPS OLD BOWENPALLY,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
30,36210600109,MPPS ANJAIAHNAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
31,36210600303,MPPS PARDHI BASTI,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
32,36210600636,AIDED BHARATHI UP SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
33,36210600519,ZPHS BABBUGUDA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
34,36210600632,AIDED NAVABARATH UPS BS PARK,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
35,36210600207,AIDED VANI CVNTUPS HMPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
36,36210600705,SADA SIVA PS (FEROZGUDA),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
37,36210600617,"ST. XAVIERS HIGH SCHOOL, FATHER NAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
38,36210600677,AL HIDAYAH ISLAMIC SCHOOL (PADMAVATHI NAGAR),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
39,36210600209,SRI RAMAM MODEL CONVENT,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
40,36210600219,HOLY SOOFIA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
41,36210600220,PLATINUM JUBILEE HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
42,36210600851,NEWTON HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
43,36210600106,DIVINE PATH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
44,36210600651,HOLY MARY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
45,36210600212,ST. MARYS HS HASMATPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
46,36210600507,"ST ISAAC ADVENT HIGH SCHOOL, BABBUGUDA","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
47,36210600508,SRI MEDHA VIDYANIKETAN(BORABANDA),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
48,36210600868,NAVEEN CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
49,36210600649,JIHNSON GRAMMER HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
50,36210600659,BLUE DIAMOND HIGH SC,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
51,36210600717,ROYAL-THE SCHOOL DILKUSH NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
52,36210600870,"ST.JOSEPHS HIGH SCHOOL, BALANAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
53,36210600661,BHAIRAVA VIDYABHAVAN,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
54,36210600119,"Woodberry School, Mallikarjuna nagar","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
55,36210600124,MASTERMINDS SCHOOL OLD BOWENPALLY,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
56,36210600841,SV MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
57,36210600678,KRISHNAVENI SCHOOL FATHENAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
58,36210600872,gowtham model school old bowenpally,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
59,36210600713,"PATMOS HIGH SCHOOL,BALANAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
60,36210600715,RISING SUN SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
61,36210600120,"SHISHYA THE SCHOOL,OLD BOWENPALLY","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
62,36210600874,"S.R.DIGI SCHOOL, BOWENPALLY","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
63,36210600867,ST MARY JOSEPHS SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
64,36210600848,"UDBHAV RBL SCHOOL,(EKALAVYA) FATEHNAGR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
65,36210600623,SRI HAYAGREEVA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
66,36210600711,SADASHIVA HIGH SCHOOL (FEROZGUDA),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
67,36210600648,NAVABHARATH HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
68,36210600860,ROSE LAND HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
69,36210600866,"COVELLS HIGH SCHOOL, HS BALANAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
