Seq No.,UDISE Code,School Name,School Location
1,36210102501,MPPS GHANPUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
2,36210101004,MPPS RAVALKOLE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
3,36210102301,MPPS PUDUR MEDCHAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
4,36210102718,"TSWREIS SCHOOL, KISTAPUR","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
5,36210101806,ZPHS GUNDLAPOCHAMPALLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
6,36210102702,MPPS RATHAM SALA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
7,36210102101,MPPS SUTHARIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
8,36210101101,MPPS AKBARJAPET,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
9,36210101301,MPPS ATHVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
10,36210101802,MPPS LAXMINAGAR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
11,36210102402,MPPS RAJABOLLARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
12,36210100401,MPPS BANDAMADHARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
13,36210101201,MPPS SHAHAJADIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
14,36210101001,MPPS RAVALKOLE TANDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
15,36210100502,ZPHS NUTHANKAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
16,36210102717,ZPHS MEDCHAL (G),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
17,36210102403,MPUPS RAJABOLLARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
18,36210101003,MPPS KASANIBAI TANDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
19,36210102716,ZPHS MEDCHAL (B),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
20,36210100201,MPPS SREERANGAVARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
21,36210102701,MPPS MEDCHAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
22,36210102404,ZPHS RAJABOLLARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
23,36210101503,ZPHS GIRAMPUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
24,36210102305,ZPHS PUDUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
25,36210101303,ZPHS ATHVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
26,36210102704,MPPS HANUMANNAGAR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
27,36210102711,MPPS RLY STATION RAOD,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
28,36210101803,MPPS GUNDALAPOCHAMPALLE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
29,36210102001,MPPS KANDLAKOYA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
30,36210101501,MPPS GIRMAPUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
31,36210100701,MPPS KONAIPALLI,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
32,36210101002,MPPS GUDEMGADDA TANDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
33,36210101601,MPPS RAYALAPUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
34,36210100604,MPPS MAISIREDDYPALLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
35,36210101801,MPPS MAISAMMAGUDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
36,36210100802,MPUPS YELLAMPET,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
37,36210101006,ZPHS RAVALKOLE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
38,36210100501,MPPS NUTHANKAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
