Seq No.,UDISE Code,School Name,School Location
1,36210490530,TSWREIS (G) ALWAL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
2,36210490115,MPPS SHIRDI SAIBABA NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
3,36210490120,MPPS GIRINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
4,36210490145,MPPS VENNALAGADDA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
5,36210490148,MPPS SUBHASHNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
6,36210490402,ZPHS SURARAM COLONY,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
7,36210490107,MPPS RING BASTI,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
8,36210490111,MPPS AMBEDKAR NAGAR (Quthbullapur),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
9,36210490112,MPPS SHIVALAYAM NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
10,36210490140,MPPS KALAVATINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
11,36210490144,MPPS AYODHYANAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
12,36210490311,MPPS MAQDUMNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
13,36210490312,MPPS PETBASHEERABAD,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
14,36210490150,MPPS SRNAIK NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
15,36210490362,ZPHS JAGADGIRINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
16,36210490125,MPPS DATHATHREYANAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
17,36210490196,MPPS GANDHI NAGAR(U/M),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
18,36210490360,ZPHS GURUMURTYNGR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
19,36210490417,ZPHS NEHRU NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
20,36210490129,MPPS SHAPOORNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
21,36210490131,MPPS RAMAKRISHNA NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
22,36210490401,ZPHS BHAGATHSING NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
23,36210490153,MPPS RNR NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
24,36210490194,MPPS PRASOONA NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
25,36210490102,MPPS SURARAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
26,36210490146,MPPS JAYARAMNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
27,36210490137,MPPS SHIVA NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
28,36210490149,MPPS ALLURISITHARAMARAJU NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
29,36210490122,MPPS CHENNA REDDY NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
30,36210490117,MPPS QUTHBULLAPUR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
31,36210490124,MPPS GANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
32,36210490114,MPPS DP COLONY,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
33,36210490135,MPPS SANJAYGANDHI NAGAR (GANDHI NAGAR),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
34,36210490104,MPPS LALSAB GUDA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
35,36210490195,MPPS SRINIVAS NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
36,36210490274,MPPS RAMREDDYNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
37,36210490109,MPPS MARKANDEYA NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
38,36210490193,MPPS BHAGATSINGHNA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
39,36210490139,MPPS SANJAY GANDHI NAGAR (SHAPUR NAGAR),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
40,36210490152,MPPS DEVENDRA NAGAR (GAJULARAMARAM),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
41,36210490361,ZPHS SHAPURNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
42,36210490127,MPPS NANDANAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
43,36210490130,MPPS JAGADGIRINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
44,36210490105,MPPS VIVEKANANDA NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
45,36210490136,MPPS LENIN NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
46,36210490143,MPPS JEEDIMETLA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
47,36210490359,ZPHS GAJULARAMARAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
48,36210490132,MPPS AMBEDKAR NAGAR (GAJULARAMARAM),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
49,36210490103,MPPS METTUKANIGUDA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
50,36210490110,MPPS RODAMESTRYNAGAR (U/M),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
51,36210490365,ZPHS JEEDIMETLA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
52,36210490113,MPPS RAJIV GANDHI NAGAR (SURARAM),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
53,36210490416,MPPS NEHRU NAGAR - I,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
54,36210490116,MPPS KAISERINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
55,36210490358,ZPHS SURARAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
56,36210400157,MPPS BALAIAHNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
57,36210490126,MPPS ANJAIAH NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
58,36210490364,ZPHS GANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
59,36210490101,MPPS SURARAM WEAKER SEC,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
