Seq No.,UDISE Code,School Name,School Location
1,36230803007,ZPHS THATTIANNARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
2,36230800301,MPPS MARRIPALLY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
3,36230801602,MPPS PATI ANAJPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
4,36230802706,MPPS SRI SRI NAGAR COLONY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
5,36230800214,MPPS RAJEEV GRUHAKALPA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
6,36230800201,MPPS KUNTLOOR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
7,36230801501,MPPS GANDICHERUVU,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
8,36230801401,MPPS PASUMAMLA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
9,36230802712,ZPHS TURKAYAMJAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
10,36230802729,MPPS KAMMAGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
11,36230803506,ZPHS PEDDA AMBERPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
12,36230802705,MPPS RAGANNAGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
13,36230802203,ZPHS KAWADIPALLY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
14,36230802603,ZPHS MAZIDPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
15,36230801801,MPPS LASKERGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
16,36230801701,MPPS GUNTHAPALLY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
17,36230802302,MPPS BATASINGARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
18,36230802303,MPPS KOTHAGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
19,36230802102,MPPS ABDULLAPURMET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
20,36230803001,MPPS MATHUGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
21,36230801514,MPPS UMARKHANGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
22,36230803304,ZPHS TORRUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
23,36230800402,ZPHS QUTUBULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
24,36230802702,MPPS NSR NAGAR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
25,36230800105,ZPHS INJAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
26,36230801201,MPPS BALIJAGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
27,36230800601,MPUPS GOWRELLI,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
28,36230800903,MPPS BANDARAVORAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
29,36230800904,ZPHS BANDARAVIRYAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
30,36230801506,ZPHS KOHEDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
31,36230800401,MPPS QUTHBULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
32,36230802602,MPPS MAZIDPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
33,36230800206,ZPHS KUNTLOOR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
34,36230803301,MPPS THORUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
35,36230803401,MPPS MUNGANOOR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
36,36230801402,MPPS KALANAGAR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
37,36230801502,MPPS KOHEDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
38,36230801601,MPPS ANAJPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
39,36230800215,MPPS RAVI NARAYANA REDDY COLONY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
40,36230801403,ZPHS PASUMAMULA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
41,36230803003,MPPS TATTIANNARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
42,36230801504,MPPS UPPERGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
43,36230802701,MPPS TURKAYAMJAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
44,36230803501,MPPS PEDDA AMBERPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
45,36230801603,ZPHS ANAJPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
46,36230800901,MPPS CHINNARAVIRYAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
47,36230802109,MPPS JNNURM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
48,36230802201,MPPS KAWADIPALLY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
49,36230803303,MPPS BRAHMANAPALLY,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
50,36230800101,MPPS INJAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
51,36230801102,ZPHS THARAMATIPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
52,36230801101,MPPS THARAMATIPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
53,36230802105,ZPHS ABDULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
54,36230802714,AIDED ST.JOSEPHS HS.,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
55,36230802001,MPPS INAMGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
56,36230802304,ZPHS BATASINGARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
57,36230803502,MPPS PEDDA AMBERPET HW,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
58,36230802101,MPPS ABDULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
59,36230802713,ZPHS RAGANNAGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
60,36230800702,MPPS BACHARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
61,36230803524,SREE BHASHYAM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
62,36230800103,GOUREE CHANDRA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
63,36230803010,ST ORNOLDS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
64,36230803203,"SLOKA SCHOOL,MANNEGUDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
65,36230803404,SHANTHI NIKETHAN CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
66,36230800207,LAYOLA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
67,36230802734,INDUS VALLEY INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
68,36230801404,FLORADALE PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
