Seq No.,UDISE Code,School Name,School Location
1,36230501014,MPPS GURRAMGUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
2,36230500165,MPPS ERRAKUNTA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
3,36230501702,MPPS NADARGUL HW,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
4,36230500107,ZPHS BALAPUR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
5,36230501502,MPPS RANGANAYUKULA COL.,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
6,36230501105,MPPS CHINTALKUNTA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
7,36230501001,MPPS JILLEGUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
8,36230500706,ZPHS BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
9,36230501103,MPPS PRASHANTI NAGAR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
10,36230500801,MPPS KOTHAPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
11,36230501403,MPUPS JALPALLE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
12,36230500103,MPPS QUBA COLONY,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
13,36230501002,MPPS AMBEDKAR NAGR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
14,36230500702,MPPS GANDHINAGAR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
15,36230500701,MPPS BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
16,36230501401,MPPS SRIRAM COLONY,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
17,36230501003,MPPS DINADAYAL NAGR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
18,36230501104,MPPS LENIN NAGAR HW,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
19,36230501601,MPUPS KURMALGUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
20,36230501005,MPPS RAJIV GRUHAKALPA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
21,36230501004,MPUPS ALMASGUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
22,36230500102,MPPS SHAHEEN NAGAR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
23,36230501707,ZPHS NADARGUL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
24,36230500502,MPPS KALANAGAR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
25,36230501501,MPPS MAMIDIPALLE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
26,36230501701,MPPS NADARGUL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
27,36230500160,MPPS PAHADI SHAREEF,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
28,36230500815,ZPHS PAHADISHAREEF,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
29,36230501402,MPPS WADI-E-HUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
30,36230500818,MPUPS PAHADISHARIF,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
31,36230500166,"INDO US PUBLIC SCHOOLS, SHAHEEN NAGAR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
32,36230500620,MPPS MEERPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
33,36230500501,MPPS VENKATAGIRI COL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
34,36230501102,MPPS LENIN NAGAR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
35,36230501503,ZPHS MAMIDIPALLE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
36,36230500163,"KRISHNAVENI TALENT SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
37,36230500202,MPUPS MALLAPUR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
38,36230500101,MPPS BALAPUR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
39,36230500506,ZPHS JILLEL GUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
40,36230500630,VISHWAMITHRA THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
41,36230500164,OXFORD GRAMMER HIGH SCHOOL (BALAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
42,36230500110,MANCHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
43,36230500176,"BRILLIENT SCHOOL OF EXCELLANCE, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
44,36230500303,GLOBAL TREE THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
45,36230500719,SPRING WOOD SCHOOL - BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
46,36230500732,"ST.JOHN GRAMMAR SCHOOL,BADANGPET","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
47,36230500718,BALA SIDDARTHA GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
48,36230500716,AKSHRA CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
49,36230501119,AKSHAYA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
50,36230500136,GOLDEN JUBLIEE SCHOOL (VENKATAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
51,36230500135,NEW ANSARI PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
52,36230500174,"SHINE MODEL SCHOOL, QUBA COLONY, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
53,36230500526,"KRISHNAVENI SCHOOL, JILLELGUDA","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
54,36230501118,BHAGYA NAGAR VIDYANIKETAN,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
55,36230501710,MRR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
56,36230500121,"SHINE MODEL SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
57,36230500133,ROYAL SEA ENGLISH GRAMMER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
58,36230500179,"READ THE SCHOOL, QUBA COLONY","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
59,36230501120,SAI SREES NALANDA CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
60,36230500717,ADARSH VIDYA BHAVAN,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
61,36230501109,GOUTAMI TALENT HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
62,36230500715,GRAPH CONCEPT SCH,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
63,36230501015,SIDHARATHA SCHOOL (ALMASGUDA),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
64,36230500185,SLOKA THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
65,36230501511,TATAS PROGRESSIVE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
66,36230500131,SUFFA MISSION HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
67,36230500162,SRI VIDYA VIKAS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
68,36230500156,SRI BHAVYA SCHOOL BALAPUR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
69,36230501021,ARKA INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
70,36230500180,"AL FALAH SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
71,36230500522,LORDS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
72,36230500604,ST.ALPHONSUS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
73,36230500505,LIONS CLUB OF DECCAN HYD,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
74,36230500507,MEGA CITY GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
75,36230501111,"NARAYANA CONCEPT HS, Chinthalkunta","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
76,36230500170,ST ABHUDAYA MEMORIAL SCHOOL (BALAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
77,36230501013,NAVA VIDYARTHI PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
78,36230501411,STANDARD MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
79,36230501507,ND HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
80,36230501408,SANSKAR VIDYA BHAVAN,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
81,36230500123,SISTER NIVEDITHA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
82,36230500734,THE MASTERMIND SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
83,36230500525,"KRISHNAVENI TALENT SCHOOL, JILLELGUDA","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
