Seq No.,UDISE Code,School Name,School Location
1,36232701102,MPUPS RAVIRYAL,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
2,36232701901,MPPS KHASLABAD,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
3,36232700703,MPPS (P) LAXMIDEVIPALLY,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
4,36232700201,MPPS VANAMPALLY,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
5,36232700303,KGBV CHOWDERGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
6,36232701304,MPUPS GALIGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
7,36232700304,MPPS LACHAMPET,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
8,36232700705,MPPS RAMJA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
9,36232701305,ZPHS PEDDA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
10,36232701101,MPPS VEERASAMUDRAM,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
11,36232701201,MPPS CHEGIREDDI GHANPUR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
12,36232700601,MPPS JILLED,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
13,36232701301,MPPS PEDDA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
14,36232701302,MPPS NANDYA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
15,36232700602,MPPS CHOWDERGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
16,36232700702,MPPS BOYAGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
17,36232700502,ZPHS INDRANAGAR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
18,36232700801,MPPS CHENNAREDDIGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
19,36232701202,MPPS CHINTAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
20,36232701303,MPPS DAMARAGIDDA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
21,36232701203,MPPS VEEPA KUNCHA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
22,36232701701,MPPS CHALIVENDRAMPALLY,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
23,36232701204,MPPS GOVULABANDATHANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
24,36232700501,MPPS INDRANAGAR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
25,36232700604,MPPS CHOWDERGUDA (UM),"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
26,36232700704,MPUPS PADMARAM,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
27,36232700701,MPPS ELKAGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
28,36232700301,MPUPS TUMMALAPALLE,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
29,36232700901,MPPS VEERANNAPETA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
30,36232701906,ZPHS YEDIRA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
31,36232701002,MPUPS GURRAMPALLE,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
32,36232700603,ZPHS CHOWDERGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
33,36232701501,MPPS MALKAPAHAD,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
34,36232700401,MPPS THOOMPALLE,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
35,36232701801,MPUPS JAKARAM,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
36,36232701904,MPPS EDIRA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
37,36232701601,MPPS GUNJALPAHAD,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
38,36232701905,MPUPS PEERJAPOOR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
39,36232701903,MPPS KHASLABAD TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
40,36232701902,MPPS MUSTIPALLI,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
41,36232701306,UPS VIVEKA BHARATHI PEDDA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
42,36232700607,PRASHANT CHOWDERGUDEM,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
