Seq No.,UDISE Code,School Name,School Location
1,36230300505,NCLP SRI ADITYA CONSTRUCTIONS,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
2,36230300403,ZPHS VATTINAGULAPALLY,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
3,36230301604,GOVT. UPS NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
4,36230301606,TSWREIS GIRLS,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
5,36230302202,MPPS MANIKONDA WSC,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
6,36230302402,MPPS PUPPALGUDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
7,36230300101,MPPS HYDERSHAKOTE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
8,36230301805,MPPS KISMATHPUR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
9,36230301901,MPPS ALIJAPUR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
10,36230300402,MPPS VATTINAGULAPALLY,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
11,36230301605,ZPHS NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
12,36230301811,KGBV KISMATPUR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
13,36230302201,MPPS MANIKONDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
14,36230301001,MPPS BAIRAGIGUDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
15,36230302303,ZPHS MANIKONDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
16,36230301713,MPUPS BANDLAGUDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
17,36230302106,"MPHS KOKAPET,KOKAPET","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
18,36230301301,MPUPS PEERAMCHERUVU,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
19,36230302102,MPPS KOKAPET,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
20,36230301601,MPPS NARSINGI (HW),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
21,36230301701,MPPS BANDLAGUDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
22,36230301801,MPPS DRGA KHALIZKHAN,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
23,36230301101,MPPS GANDHAMGUDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
24,36230302001,MPPS NEKNAMPUR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
25,36230301401,MPUPS HIMAYATHSAGAR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
26,36230301603,MPPS NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
27,36230301719,MPPS PNT COLONY,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
28,36230300301,MPUPS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
29,36230302101,MPPS KOKAPET (CRUSHER),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
30,36230301709,ST. XAVIERS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
31,36230301613,HAPPY SCHOLARS SCHOOL NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
32,36230300103,ZPHS HYDERSHAKOTE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
33,36230300115,"SRI TRIVENI HIGH SCHOOL, HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
34,36230300111,"SRI CHAITANYA HIGH SCHOOL, HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
35,36230300117,AMAZING SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
36,36230301615,"VISHWA BHARATHI HIGH SCHOOL, NARSINGI","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
37,36230300501,MPUPS GANDIPET,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
38,36230302311,"SR DIGI SCHOOL, MANIKONDA","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
39,36230302307,KRISHNAVENI SCHOOL (VINAYAKNAGAR),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
40,36230300901,MPPS MANCHIREVULA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
41,36230302203,"SRI CHAITANYA SCHOOL, MANIKONDA JAGIR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
42,36230301728,"KRISHNAVENI TALENT HS, BANDLAGUDA JAGIR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
43,36230300305,"SRI TRIVENI UPS, KHANAPUR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
44,36230401847,"GOWTHAM MODEL SCHOOL, BANDLAGUDA","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
45,36230301720,SRI VIVEKANANDA VIDYA VIHAR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
46,36230301714,"VISHWA BHARATHI HS, BANDLAGUDA JAGIR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
47,36230301810,NEW LITTLE SCHOLARS HS,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
48,36230301711,RAUS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
49,36230302005,AZRA PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
50,36230300905,PRANAVA THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
51,36230300904,TRIVENVIDYANIKETAN HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
52,36230301102,HYDERABAD SCHOOL OF EXCELLANCE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
53,36230302408,THE RISING SUN SCHOOL (PUPPALGUDA),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
54,36230302409,SRI GAYATRI E TECNO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
55,36230302413,"GOWTHAM MODEL SCHOOL, PUPPALGUDA","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
56,36230302004,ELATE INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
57,36230302306,PRATHIBA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
58,36230301614,"SHARADA VIDYA NIKETAN, NARSINGI","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
59,36230301617,PAVITHRA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
60,36230301717,L N R CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
61,36230301730,SADGURU MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
62,36230301721,SHINE INDIA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
