Seq No.,UDISE Code,School Name,School Location
1,36230700626,MPPS INDIRA NAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
2,36230700207,MPPS HAYATH NAGAR HW,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
3,36230700505,TSWREIS SOCIAL WELFARE,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
4,36230700498,"SRI CHAITANYA HIGH SCHOOL, Hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
5,36230700624,ZPHS SAHEB NAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
6,36230700615,MPPS CHINTAL KUNTA,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
7,36230700620,MPPS NGO COLONY,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
8,36230700619,MPPS KAMALA NAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
9,36230700625,ZPHS VANASTHALIPURAM,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
10,36230700206,MPPS HAYATH NAGAR URDU,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
11,36230700262,BALA BHARATHI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
12,36230700610,ELITE GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
13,36230700255,MPPS RANGA NAYAKUL COLONY,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
14,36230700211,MPPS ANMAGAL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
15,36230700260,ZPHS HAYATHNAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
16,36230700618,MPPS VANASTALIPURAM,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
17,36230700616,MPPS JAHANGEER NAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
18,36230700205,MPPS HAYATHNAGAR (BAGATH),"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
19,36230700623,MPPS SAHEBNAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
20,36230700443,"SREE RAMANUJAN HIGH SCHOOL, HAYATHNAGAR BAGATH","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
21,36230700102,MPPS SHANTHINAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
22,36230700274,"ST.ANNS SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
23,36230700642,"RAVINDRA BHARATHI HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
24,36230700650,"SREE RAMANUJAN HIGH SCHOOL, SAHEBNAGAR KALAN","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
25,36230700463,PUDAMI ENGLISH HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
26,36230700445,NARAYANA CONCEPT,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
27,36230700419,VARUNS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
28,36230700703,"RAINBOW SCHOOL, HAYATHNAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
29,36230700704,nri high school,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
30,36230700283,"LOYOLA MODEL HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
31,36230700663,kakatiya school FCI COLONY,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
32,36230700662,BODHA A SCHOOL OF PERCEPTION,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
33,36230700637,PURNODAYA MODEL HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
34,36230700430,VENKATESHWARA VIDYA,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
35,36230700408,"LOTUS LAP HS, HAYATHNAGAR BAGATH","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
