Seq No.,UDISE Code,School Name,School Location
1,36231601142,KGBV KADTHAL,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
2,36231601114,GOVT(DNT) PS MAISIGANDI,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
3,36231601108,MPPS JAMMALABHAVI TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
4,36231601125,TW ASHRAMA HIGH SCHOOL BOYS MAISIGANDI,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
5,36231601107,MPPS VELUGURALLATANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
6,36231601139,"TW ASHRAM SCHOOL, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
7,36231601119,MPPS KADTHAL (G),"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
8,36231601310,ZPHS EKWAIPALLE,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
9,36231601120,MPUPS KADTHAL (B),"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
10,36231600102,MPPS REKYA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
11,36231601001,MPPS NARLAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
12,36231601121,ZPHS KADTHAL (GIRLS),"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
13,36231601112,MPPS PV BAI TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
14,36231600202,MPPS NAGIREDDY GUDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
15,36231601401,MPPS BOINGUTTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
16,36231601103,MPPS ANMAS PALLY,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
17,36231601109,MPPS GADDDAMEDITANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
18,36231601111,MPPS PULLERUBODU TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
19,36231601308,MPPS MUDHVIN TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
20,36231601309,MPPS EKWAIPALLE,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
21,36231601101,MPPS GANUGUMARLA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
22,36231600902,MPPS NERELLAKOLE TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
23,36231600401,MPPS NYAMATHAPUR,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
24,36231600904,MPUPS VASUDEVPOOR,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
25,36231600903,MPPS CHENNARAM TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
26,36231600901,MPPS KADIYA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
