Seq No.,UDISE Code,School Name,School Location
1,36231700405,MPPS PULIMAMIDI,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
2,36231701824,TSWREIS BOYS (KANDUKUR),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
3,36231701826,TWREIS BOYS KANDUKUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
4,36231701819,KGBV KANDUKUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
5,36231700404,MPPS AMBEDKAR NAGAR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
6,36231701602,MPUPS TIMMAIPALLY,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
7,36231702805,MPPS BEGARI KANCHA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
8,36231701104,MPPS RACHULUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
9,36231703001,MPPS UTTLAPALLY,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
10,36231700403,MPPS PEDDAMMA TANDA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
11,36231703002,MPPS PANTHULU TANDA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
12,36231702806,ZPHS MEERKHANPET,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
13,36231701305,MPUPS BEGUMPET,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
14,36231701002,MPPS MALAGUDUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
15,36231701101,MPPS KATIKAPALLY,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
16,36231702204,MPUPS MANYAGUDA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
17,36231702206,ZPHS NEDNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
18,36231702201,MPPS NEDNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
19,36231702101,MPUPS BACHUPALLY,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
20,36231701303,MPPS CHIMALAVANIKUNTA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
21,36231702804,MPPS VAVILAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
22,36231702802,MPPS AKULAMLARAM,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
23,36231702801,MPPS MEERKHANPET,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
24,36231700902,MPUPS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
25,36231701501,MPPS KOLANGUDA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
26,36231702401,MPPS DASARAPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
27,36231703004,MPPS MUCHERLA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
28,36231703006,ZPHS MUCHERLA,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
