Seq No.,UDISE Code,School Name,School Location
1,36232601819,TSWREIS KONDURG(WEST)(BOYS),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
2,36232600123,KGBV KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
3,36232601401,MPPS THIRUMAL DEVUNIPALLY,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
4,36232602002,MPUPS AGIRYAL,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
5,36232601402,MPPS TANGELLAPALLY (SC),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
6,36232601702,MPPS CHERUKUPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
7,36232600301,MPPS MUTPOOR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
8,36232600801,MPPS BHIRAMPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
9,36232602001,MPPS AGIRYAL OLD,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
10,36232601701,MPPS CHERUKUPALLE (SC),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
11,36232600203,MPUPS UMMETHYAL,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
12,36232601902,MPUPS VENKIRYAL,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
13,36232601301,MPUPS PARVATHPUR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
14,36232600701,MPPS UTTARASPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
15,36232601901,MPPS LAXMIDEVUNIPALLY (V),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
16,36232600202,MPPS LALAPET,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
17,36232601403,MPHS TANGELLAPALLY,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
18,36232600302,ZPHS MUTPOOR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
19,36232600401,MPPS REGADI CHILKAMARRIY,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
20,36232601501,MPPS VISWANATHPUR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
21,36232601104,MPUPS CHINNA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
22,36232601001,MPPS SRIRANGAPUR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
23,36232600103,MPPS CHEKKALONIGUDA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
24,36232600903,MPPS MAHADEVPOOR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
25,36232600105,ZPHS KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
26,36232601102,MPPS PULLAPPA GUDA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
27,36232600601,MPPS TEKULAPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
28,36232601103,MPPS AYODHYAPOOR TANDA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
29,36232600102,MPUPS KONDURG (GIRLS),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
30,36232600902,MPPS PULUSUMAMIDI,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
31,36232600904,MPUPS RAMACHANDRAPOOR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
32,36232600901,MPPS AYYAWARIPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
33,36232600101,MPPS KONDURG (BOYS),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
34,36232601101,MPPS RAMANNAGUDA TANDA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
35,36232600104,MPPS (P) KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
36,36232600115,HS NEW GITANJALI KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
37,36232600117,"ST MARYS SCHOOL E/M, KONDURG","State : Telangana
District : RANGAREDDY
Block : KONDURG"
38,36232600118,MPUPS LITTLE FLOWER ENGLISH MEDIUM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
39,36232600111,OXFORD HIGH SCHOOL (E/M),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
