Seq No.,UDISE Code,School Name,School Location
1,36232301124,TWREIS SCHOOL (BOYS)KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
2,36232300204,MPPS GUDUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
3,36232301118,KGBV KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
4,36232300205,ZPHS GUDUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
5,36232301123,MPPS KOTHUR (UM),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
6,36232300201,MPPS MAKTHAGUDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
7,36232301005,"MPPS SIDDAPUR, SIDDAPUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
8,36232301111,ZPHS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
9,36232301104,MPPS KOTHUR TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
10,36232301102,MPPS KOTHUR (HW),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
11,36232300401,MPPS THEEGAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
12,36232301103,MPPS AKKIVANIGUDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
13,36232300302,MPUPS THIMMAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
14,36232301001,MPPS ENGULAMADUGU TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
15,36232301101,MPPS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
16,36232300301,MPPS THIMMAPUR (RAILWAY STATION),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
17,36232300202,MPPS LRK TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
18,36232301004,ZPHS SIDDAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
19,36232301002,MPPS CHINTAGATTU TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
20,36232300605,ZPHS INMULNARVA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
21,36232300802,MPPS KODICHARLA TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
22,36232301106,MPUPS KUMMARIGUDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
23,36232301003,MPPS PK TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
24,36232300601,MPPS INMULNARVA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
25,36232300701,MPPS KHAJIGUDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
26,36232300502,ZPHS PENJERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
27,36232300501,MPPS PENJERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
28,36232300104,MPUPS MALLAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
29,36232301128,FATHIMA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
30,36232300901,MPPS SB PALLY,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
31,36232300102,MPPS REDDY PALEM,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
32,36232300801,MPPS KODICHERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
33,36232300101,MPPS MALLAPUR TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
34,36232300103,MPPS MALLAPUR (HW),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
35,36232301110,"NICKELS CONVENT, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
36,36232301112,AIDED FATIMA HS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
37,36232300106,PS ST LAWRENCE SCHOOL. REDDYPALEM (MALLAPUR),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
38,36232301119,"HS SUNSHINE MODEL, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
39,36232301115,MONTISSORI EM KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
40,36232301116,PS KRISHNAVENI KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
41,36232301114,LITTLE ANGELS HIGH SCHOOL KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
42,36232300607,HS VENKATESARA INMULNARWA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
43,36232300203,MPPS PEDDA GUTTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
44,36232301126,"MERIDIAN SCHOOL, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
45,36232300303,SHANTHIKETHAN MODEL HIGH SCHOOL THIMMAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
46,36232301127,SRI VENKATARAMANA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
47,36232301125,CHANDAMAMA RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
