Seq No.,UDISE Code,School Name,School Location
1,36231800902,MPPS PEDDAMMA TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
2,36231801922,KGBV MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
3,36231801502,ZPHS KOLLAPADKAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
4,36231802705,ZPHS RAVIRYAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
5,36231803301,MPPS TUMMALOOR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
6,36231802701,MPPS RAVIRYAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
7,36231802310,ZPHS THUKKUGUDA (B),"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
8,36231800901,MPPS NALLACHERU TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
9,36231801935,TSWREIS (GIRLS) MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
10,36231802302,MPPS MANKHAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
11,36231802706,ZPHS RAVIRYAL (B),"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
12,36231801303,ZPHS SUBHANPUR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
13,36231800405,ZPHS NAGARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
14,36231800903,MPUPS CHINNA THUPRA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
15,36231801701,MPUPS AKHANPALLY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
16,36231800801,MPPS AMEERPET,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
17,36231802002,MPPS GANGARAM TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
18,36231800804,ZPHS AMEERPET (B),"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
19,36231801202,MPUPS DUBBACHERLA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
20,36231800103,MPUPS MANSANPALLY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
21,36231801801,MPUPS GHATPALLY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
22,36231800501,MPPS NAGIREDDYPALLY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
23,36231803302,ZPHS TUMMALOOR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
24,36231802703,MPPS DEVENDER NAGAR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
25,36231802309,ZPHS THUKKUGUDA(G),"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
26,36231801901,MPPS MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
27,36231802311,ZPHS MANKHAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
28,36231800201,MPPS HABEEBULLAGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
29,36231800502,MPPS NAGIREDDYPALLY THANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
30,36231801001,MPUPS KALVAKOLE,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
31,36231800202,MPUPS GOLLURU,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
32,36231801501,MPPS KOLLAPADKAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
33,36231800504,MPPS UPPUGADDA TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
34,36231803001,MPPS IMAMGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
35,36231801002,MPUPS MANIKYAMMAGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
36,36231802001,MPPS GANGARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
37,36231801103,ZPHS PENDYAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
38,36231801302,MPPS SUBHANPUR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
39,36231801601,MPUPS PORANDLA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
40,36231802307,MPUPS HARSHAGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
41,36231801101,MPPS RAMCHANDERGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
42,36231801102,MPPS PENDYAL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
43,36231802305,MPPS JANDAMARRI TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
44,36231800601,MPPS DABILGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
45,36231802301,MPPS THUKKUGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
46,36231803201,MPPS MAHABAT NAGAR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
47,36231802101,MPUPS SIRIGIRIPUR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
48,36231800404,MPPS NAGARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
49,36231802501,MPPS SARDARNAGAR,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
50,36231802308,LITTLE ANGELS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
51,36231802318,BRILLIANT GRAMMAR SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
52,36231800301,MPPS NANDUPALLY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
53,36231801911,ZPHS MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
54,36231802321,"MILLENNIUM SCHOOL, THUKKUGUDA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
55,36231800807,ZPHS AMEERPET (G),"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
56,36231801910,ZPHS(G) MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
57,36231801903,MPPS KOTWALCHERUVU TND,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
58,36231800402,MPPS ENUGUCHERUVU TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
59,36231801904,MPPS NAGULDEV TANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
60,36231802316,"NOBLE SCHOOL, THUKKUGUDA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
61,36231802709,AGHAKHAN ACADAMY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
62,36231802704,"SRI SAI VIDYA NIKETAN, RAVIRYAL KONGRA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
63,36231801003,GOOD NEWS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
64,36231801925,SRI AKSHARA TECH SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
65,36231801934,"OXFORD TALENT SCHOOL, MAHESHWARAM","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
66,36231802707,SRI VIDYALAYA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
67,36231802317,Sri Chaitanya School,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
68,36231801912,MESCO MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
69,36231802708,SIDDARATHA GRAMMER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
70,36231800503,SRI VAISHNAVI TECNO,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
71,36231802314,DEVENDRA VIDYALAYA H,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
72,36231800407,SATYAM KIDS WORLD SC,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
73,36231801505,SRI RAMACHANDRA SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
74,36231800105,SRI VIVEKANANDA VIDYALAYA HS,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
75,36231801921,"KRISHNAVENI HIGH SCHOOL, MAHESHWARAM","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
76,36231802319,"SRI GAYATRI SCHOOL, THUKKUGUDA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
77,36231800808,SURYODAYA VIDYANIKETAN,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
78,36231801504,SRI VENKATADRI GRAM SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
79,36231800905,SANJOE PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
80,36231802323,BACHPAN THE NEXT GEN SCHOOL THUKKUGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
81,36231801924,SRI VIDYA VIKAS SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
82,36231801933,"NEW BRILLIANT MODEL SCHOOL, MAHESHWARAM","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
83,36231800904,C B R MEMORIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
84,36231802503,"VIVEKANANDA SCHOOL, SARDAR NAGAR","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
85,36231802320,SRI SRI ACADEMY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
86,36231803202,BHASHYAM BLOOMS THE GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
87,36231801917,ST.SAVIO EM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
88,36231801936,TSMS MAHESWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
89,36231803401,MJPTBCWREIS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
90,36231801941,MJPTBCWR SCHOOL B NAGULDONI THANDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
