Seq No.,UDISE Code,School Name,School Location
1,36231002101,MPPS ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
2,36231002118,GOVT. PS BUGGATHANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
3,36231002108,GOVT. UPS U/M ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
4,36231000904,ZPHS MANCHAL (G),"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
5,36231001503,MINI GURUKULAM ST GIRLS GURUK,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
6,36231000910,"KGBV SCHOOL, MANCHAL","State : Telangana
District : RANGAREDDY
Block : MANCHAL"
7,36231002305,MPPS LOYAPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
8,36231002105,GOVT(DNT) PS PATELCHERVU TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
9,36231001802,GOVT(DNT) PS KORRONI TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
10,36231002304,MPPS SALIGUTTA TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
11,36231000501,MPPS THALLAPALLIGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
12,36231000901,MPPS MANCHAL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
13,36231001804,ZPHS PERIKIRALA TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
14,36231000502,ZPHS THALLAPALLIGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
15,36231002103,MPPS HW 2 ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
16,36231001803,MPUPS YELLAMMA TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
17,36231001601,MPUPS CHEEDED,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
18,36231002201,MPPS AZINATHANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
19,36231002202,MPUPS BANDALEMOOR,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
20,36231002001,MPPS CHANDKHANGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
21,36231000701,MPUPS THIPPAI GUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
