Seq No.,UDISE Code,School Name,School Location
1,36232001008,MPPS YENKEPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
2,36232002402,"KGBV SCHOOL, NAZEEBNAGAR","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
3,36232000801,MPPS AZIZNAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
4,36232000605,TSWREIS CHILKUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
5,36232001001,MPPS JEEVANGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
6,36241200309,TSWREIS GIRLS BANTWARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
7,36232001803,MPPS KETHIREDDYPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
8,36232000701,MPPS HIMAYATHNAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
9,36232000806,ZPHS AZIZ NAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
10,36232000703,ZPHS HIMAYATHNAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
11,36232002301,MPPS KASHIMBOWLI,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
12,36232002501,MPPS BAKARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
13,36240201024,TSWREIS GIRLS MOMINPET,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
14,36232000203,MPPS CHINNAMANGALARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
15,36232000204,MPPS YELKAGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
16,36241490314,TWREIS TANDUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
17,36232001502,ZPHS THOLKATTA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
18,36232000401,MPPS REDDYPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
19,36232000602,MPPS DEVUNI VENKATAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
20,36232000502,ZPHS CHANDANAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
21,36232001401,MPPS SAJJANPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
22,36232001007,ZPHS YENKEPALLE,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
23,36232000101,ZPHS MEDIPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
24,36232000201,MPPS QUTHUBUDDINGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
25,36232001601,MPPS ETHBARPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
26,36232001701,MPPS NAKKALAPALY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
27,36232002502,ZPHS BAKARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
28,36232001101,MPUPS MURTHUJAGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
29,36232000604,ZPHS CHILKUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
30,36232002203,MPUPS MOINABAD,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
31,36232002401,MPPS NAZEEBNGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
32,36232000603,MPPS CHILKOOR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
33,36232002303,ZPHS AMDAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
34,36232000501,MPPS CHANDANAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
35,36232002302,MPPS AMDAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
36,36232002001,MPUPS SRIRAMNAGAR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
37,36232001901,MPPS VENKATAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
38,36232001902,ZPHS VENKATAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
39,36232001804,ZPHS KETHIREDDYPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
40,36232001801,MPPS CHAKALIGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
41,36232000402,ZPHS REDDYPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
42,36232000802,MPPS AZIZNAGAR(H.W),"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
43,36232000301,MPPS MOTHUKUPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
44,36232002101,MPPS KANAKAMAMIDI,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
45,36232001501,MPPS THOLKATTA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
46,36232000601,MPPS APPOJIGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
47,36232002201,MPPS SURANGAL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
48,36232000202,MPPS VEERANNAPET,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
49,36232002104,ZPHS KANAKAMAMIDI,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
50,36232002102,MPPS APPAREDDIGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
51,36232002601,MPUPS NAGIREDDIGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
52,36232000205,ZPHS CHINNAMANGALARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
53,36232001201,MPPS PEDDAMANGALARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
54,36232002504,ST ZITAS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
55,36232001301,MPPS CHINNA SHAPUR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
56,36232002215,AIDED METHODIST RURAL CHILDRENS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
57,36232001202,MPPS AMEERGUDA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
58,36232001203,ZPHS PEDDAMANGALARAM,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
59,36232000818,VIVEKA VARDHINI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
60,36232000808,SREENIDHI INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
61,36232000807,ACTS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
62,36232000613,L N R SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
63,36232000710,MESCO NEW MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
64,36232001504,KNR HIGH SCHOOL THOLKATTA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
65,36232000805,DURGA VIDYANIKETHAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
66,36232002210,BHARATH TEJA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
67,36232002211,"RAINBOW SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
68,36232000611,SHIVA SAI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
69,36232001006,THE GOOD SHEPHERED (EM) SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
70,36232002214,"KAKATIYA HIGH SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
71,36232002212,CHALLENGER INTERNATIONAL SCHOOL (HS),"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
72,36232001207,MAMATHA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
73,36232001009,"PRIYADARSHINI SCHOOL, YENKEPALLE","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
74,36232002209,"LOYOLA HIGH SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
75,36232001204,JAGRUTHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
76,36232000819,SRI GAYATRI VIDYANIKETHAN,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
77,36232002218,JUNIOR SCHOLAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
78,36232001211,ROTARY BHAGYANAGAR SHREE SARASWATHI SHISHU MANDIR,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
79,36232000817,"MASTER MIND SCHOOL, Aziznagar","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
80,36232000610,"SVR SCHOOL, Chilkoor","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
81,36232000815,CREEKSIDE INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
82,36232000711,SLOKA THE HYDERABAD WALDORF SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
83,36232002208,"LITTLE STARS HIGH SCHOOL, MOINABAD","State : Telangana
District : RANGAREDDY
Block : MOINABAD"
84,36232000705,NTR MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
85,36232001209,MEDHA MONTESSORI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
86,36232002602,SUJATHA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
87,36232000715,NTR Model High Schools,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
88,36232001013,SREE SWAMINARAYAN GURUKUL VIDYALAYA,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
89,36232000716,PALLAVI INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
90,36232001603,TMREIS (GIRLS) YETHBARPALLY,"State : Telangana
District : RANGAREDDY
Block : MOINABAD"
