Seq No.,UDISE Code,School Name,School Location
1,36232400303,MPPS BOGGONIGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
2,36232400102,MPUPS EDULAPALLE,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
3,36232400509,MPPS TATIGADDA TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
4,36232400508,MPPS SANGIGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
5,36232400502,MPPS ANTIREDDY GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
6,36232400513,MPPS C G TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
7,36232400506,MPPS MEKAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
8,36232400304,MPPS TALLAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
9,36232400305,MPPS BANDAVANI GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
10,36232400301,MPPS CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
11,36232400302,MPPS VENKAMMAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
12,36232400308,ZPHS NARSAPPAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
13,36232400307,ZPHS CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
14,36232400205,MPPS NASARULLABAD,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
15,36232400510,MPPS PEDDAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
16,36232400306,MPPS NARSAPPAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
17,36232400402,MPPS APPAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
18,36232400403,MPUPS VEERLAPALLY,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
19,36232400501,MPPS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
20,36232400101,MPPS MOTHUKULAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
21,36232400526,MPPS NANDIGAMA (UM),"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
22,36232400517,ZPHS MEKA GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
23,36232400515,MPUPS RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
24,36232400518,ZPHS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
25,36232400511,MPPS DHANSINGH TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
26,36232400503,MPPS CHANDRAYAN GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
27,36232400203,MPPS MANCHANPHAD,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
28,36232400401,MPPS CA GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
29,36232400504,MPPS SALVENDRIGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
30,36232400505,MPPS PITTALAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
31,36232400512,MPPS BANDAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
32,36232400206,MPPS MAMIDIPALLY,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
33,36232400208,ZPHS MAMIDIPALLY,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
34,36232400202,MPPS MAJEED MAMIDIPALLY,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
35,36232400204,MPPS SREENIVASULAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
36,36232400201,MPPS MODALLAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
37,36232400525,"UPS SRI VIGNAN SCHOOL(EM), NANDIGAM","State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
38,36232400312,SHANTHINIKETAN CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
39,36232400527,"SRI CHAITANYA EM SCHOOL, NANDIGAMA","State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
40,36232400524,LITTLE SCHOLARS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
41,36232400516,"SRI VIKAS CONVENT, NANDIGAM","State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
42,36232400311,ST.JOSEPH GJ CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
43,36232400519,NATCO HS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
44,36232400314,PS VIVEKANANDA CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
