Seq No.,UDISE Code,School Name,School Location
1,36230400201,MADARSA ABUKER SIDQ,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
2,36230401609,MPPS RAMBAGH,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
3,36230401674,MPPS NTR NAGAR U/M,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
4,36230401648,GOVT. UPS HASSAN NAGAR - VI,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
5,36230401725,GOVT. HS RAJENDRANGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
6,36230401633,GOVT. PS MM PAHADI- I,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
7,36230401673,MPPS SRI RAM NAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
8,36230401783,GOVT. PS BHUPAL NAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
9,36230401101,MPPS UPPARPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
10,36230401696,MPPS GANESH NAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
11,36230401669,MPPS HANUMANNAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
12,36230401619,MPPS MAHAMMOD NAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
13,36230401620,MPPS NETAJI NAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
14,36230401625,GOVT. PS RAJENDRANAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
15,36230401301,MPPS HYDERGUDA,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
16,36230401896,ZPHS GANESHNAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
17,36230401820,GOVT. PS HASSAN NAGAR - III,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
