Seq No.,UDISE Code,School Name,School Location
1,36230202321,TSWRMS JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
2,36230200503,GOVT. PS GOPANPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
3,36230201617,MPPS STALIN NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
4,36230201819,MPPS INDIRA NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
5,36230201618,MPPS M A NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
6,36230200405,MPPS SIDDIQNAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
7,36230201701,MPPS NALLAGANDLA WARD-15,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
8,36230201001,MPPS KHANAMET,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
9,36230200901,MPPS KHAJAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
10,36230201824,MPPS MASTHAN NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
11,36230201302,MPUPS MADEENAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
12,36230201205,MPPS 8TH BITALIAN KONDAPUR (ENGLISH),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
13,36230200101,MPUPS NANAKRAM GUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
14,36230201835,ZPHS KONDAPUR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
15,36230201804,ZPHS LINGAMPALLY,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
16,36230201815,MPPS NEHRU NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
17,36230200707,MPPS HAFEEZPET,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
18,36230201573,MPPS GOPI NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
19,36230200313,MPUPS VEMU KUNTA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
20,36230201611,ZPHS MIYAPUR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
21,36230200311,MPPS CHANDANAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
