Seq No.,UDISE Code,School Name,School Location
1,36230101103,MPPS MASANIGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
2,36230102304,GOVT. PS JANWADA (UM),"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
3,36230102403,GOVT. PS ERUKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
4,36230102003,MPPS SHERIGIDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
5,36230100446,TSWREIS (GIRLS) SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
6,36230100433,KGBV SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
7,36230100404,MPPS AYYAPPAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
8,36230101001,MPUPS ANTHAPPA GUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
9,36230101301,MPPS KOTHAPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
10,36230101802,ZPHS TANGATOOR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
11,36230100403,MPPS GANESH NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
12,36230100501,MPPS RAMANTHAPUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
13,36230100702,MPPS RAVULAPALLY KALAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
14,36230102501,MPUPS GOPULARAM,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
15,36230100301,MPPS SINGAPUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
16,36230100302,MPPS SINGAPUR TOWER,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
17,36230100405,MPUPS SHANKERPALLY U/M,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
18,36230100801,MPUPS SANKEPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
19,36230100410,MPPS SHANKARPALLY BOYS,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
20,36230102402,MPPS MAHARAJPET,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
21,36230102002,MPPS KONDAKAL TANDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
22,36230100705,MPPS ALAMKHANGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
23,36230100402,MPPS SHANKARPALLY GIRLS,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
24,36230101801,MPPS TANGATOOR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
25,36230100602,MPUPS CHANDIPPA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
26,36230102405,SRI RESU SATHI REDDY ZPHS MAHARAJPET,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
27,36230102007,MPPS INDIRAREDDY NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
28,36230100202,MPPS FATHEPUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
29,36230101302,ZPHS KOTHAPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
