Seq No.,UDISE Code,School Name,School Location
1,36231400811,KGBV TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
2,36231400501,MPPS YADAVALLI,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
3,36231400807,ZPHS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
4,36231401201,MPUPS ANTHARAM,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
5,36231400704,MPPS SANGAIPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
6,36231400801,MPPS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
7,36231401702,MPPS RAMPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
8,36231402101,MPPS GATTU IPPALAPALL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
9,36231402003,MPUPS BALSULPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
10,36231401505,MPUPS CHOWDER PALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
11,36231400301,MPPS PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
12,36231401804,ZPHS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
13,36231402004,MPPS KOLIKIRALLA TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
14,36231401007,MPPS BUDYAGANI TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
15,36231400817,MPPS SURYAGANITANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
16,36231400302,MPPS PEDDURI TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
17,36231400707,ZPHS CHUKKAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
18,36231400201,MPUPS LINGARAOPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
19,36231400702,MPPS CHUKKAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
20,36231400502,MPPS PATHAKOTA TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
21,36231400305,ZPHS PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
22,36231402006,MPPS ARLAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
