Seq No.,UDISE Code,School Name,School Location
1,29200300163,ASSIS SPECIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
2,29200300170,MOUNT OLIVE NATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
3,29200319980,BANGALORE SCOTTISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
4,29200304702,GHPS GUNDURU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
5,29280707231,NORTH HILLS INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
6,29200307405,SRI MERU INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
7,29200319954,MOUNT HERA NURSERY PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
8,29200321412,CAMBRIDGE SCHOOL BASAVANAPURA ROAD,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
9,29200319961,AMITY BANGALORE SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
10,29200300178,SNEHALAYA ITI SPECIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
11,29200321308,SHEILA KOTHAVALA INSTITUTE FOR THE DEAF,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
12,29200312030,Govt Model Primary school ANNASANDRA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
13,29200305704,CHRIST GLOBAL RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
14,29200301969,ORCHIDS THE INTERNATIONAL SCHOOL PANATTUR VARTHUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
