Seq No.,UDISE Code,School Name,School Location
1,29210226404,TELUGU HS DBPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
2,29210208703,G HS MELEKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
3,29210215206,G HS BHASHETTIHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
4,29210216806,G HS(COM) HANABE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
5,29210204402,G HS CHANNAVEERANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
6,29210211501,GHPS KONAGHATTA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
7,29210217404,G HS(COM) SAKKAREGOLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
8,29210225402,G.J.C HS D.B.PURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
9,29210215602,G HS(COMP) KADATHIPURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
10,29210222802,SRI SIDDAGANGA RURAL HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
11,29210200904,G HS HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
12,29210213206,MORARJI DESAI RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
13,29210224007,G.J.C KANASAVADI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
14,29210224857,G HS(COM)ARALUMALLIGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
15,29210212802,DR B R AMBEDKAR GIRLS RESIDENTIAL SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
16,29210228104,VIDYA SHILPA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
17,29210226701,DEVALA MAHARSHI LPS AND SRI DEVALA MAHARSHI ENG HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
18,29210224914,SWAMY VIVEKANANDA HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
19,29210226601,SPT TWINKLE STAR SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
20,29210226405,KONGADIYAPPA PU COLLOGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
21,29210227901,MAHAVEER JAIN VIDYALAYA DBPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
22,29210224917,JNANA GANGA KANNADA MEDIUM AIDED HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
23,29210226403,KONGADIYAPPA HS DBPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
24,29210200506,SRI ARAVINDA HS ARUDI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
25,29210224102,SHREE MAATHA INTERNATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
26,29210226002,NIVEDITHA ENGLISH SCHOOL CBSE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
27,29210210704,BINDU HS KANTANAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
28,29210225405,SHARADHA BALIKA HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
29,29210212603,SRI RAMA HIGHER PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
30,29210212104,LPS NAVODAYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
31,29210226001,NIVEDITHA ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
32,29210223803,KRISTU JAYANTI CMI PUBLIC SCHOOL KANNAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
33,29210219004,JNANAVAHINI HIGHER PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
34,29210227701,M A B L HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
35,29210225407,LAVANYA ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
36,29210210703,LITTLE MASTER PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
37,29210211802,VIDYADAAN SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
38,29210225410,CARMEL JYOTHI HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
39,29210226202,M S V PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
40,29210213204,SRI DEVARAJA URS INTERNATIONAL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
41,29210212405,SRI VANI PU COLLERE PALANAJOGIHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
42,29210226602,NALANDA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
43,29210226203,"ADITYA PUBLIC SCHOOL, SANJAYNAGAR","State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
44,29210215203,NIKILA VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
45,29210208203,"S L R S HIGH SCHOOL, TUBAGERE,","State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
46,29210215204,JAVAHAR NAVODAYA VIDYALAYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
47,29210213202,JNANA GANGA HPS and HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
48,29210209404,S J C R VIDYANIKETHAN,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
49,29210213802,JAKKASANDRA NARAYANAPPA ENG HS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
50,29210219007,NISARGA PUBLIC ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
51,29210224868,LAVANYA COMP PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
