Seq No.,UDISE Code,School Name,School Location
1,29210118802,G HS (COMP) SOLADEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
2,29210102104,G HS (COMP) DEVARAHOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
3,29210118803,G HS (COMP) YANTAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
4,29210116002,G HS BARADIMANDIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
5,29210100803,G HS (COMP) YELEKYATHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
6,29210107503,GOVT (COMP) HS MANNE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
7,29210120839,PRIYADARSHINI HS NELAMANGALA TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
8,29210109004,G HS (COMP) DODDABELE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
9,29210109005,G HS (COMP) BYRANAYAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
10,29210110312,TKKMHSGHS THYAMAGONDLU,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
11,29210103201,GHPS SOMPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
12,29210122801,GJC NELAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
13,29210120846,GOVT SGM PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
14,29210124002,SRINIVASA SMARAKA HS NELAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
15,29210115705,SRI BHYRAVESHWARA HS V.S.PURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
16,29210110102,DR AMBEDKAR HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
17,29210117805,"SRI YOGANARASIMHASWAMY RESIDENTIAL HIGH SCHOOL, MADALAKOTE","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
18,29210114004,SREE BYLANJENEYASWAMY P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
19,29210111203,SJRSR HS KULUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
20,29210124004,"PRIYADARSHINI P U COLLEGE, NELAMANGALA","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
21,29210118302,NARAYANA PU COLLEGE ANCHIPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
22,29210124001,ST.TERESAS ENGLISH HIGH SCHOOL SUBHASHNAGARA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
23,29210120831,KANVA PUBLIC SCHOOL DHANOJIPALYA NELAMANGALA TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
24,29210103203,VIVEKANANDA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
25,29210110310,GNANADHAMA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
26,29210103210,DOBBESPET PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
27,29210124703,SRI MANJUNATHA GIRLS HS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
28,29210124707,HOYSALA PU COLLEGE NELAMANGALA TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
29,29210110309,NISARGA VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
30,29210103702,VIDYA SPOORTI INTERNATIONAL ACADEMY CHANDANAHOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
31,29210105002,SHREE SHIVAGANGA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
32,29210115203,ST. ANN'S ENGLISH HPS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
33,29210120817,THOMAS MEMORIAL HPS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
34,29210124801,"HARSHA INTERNATIONAL PUBLIC SCHOOL, NELAMANGALA","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
35,29210120854,DIVYAJYOTHI P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
36,29210124402,"KIDS INTERNATIONAL SCHOOL, NELAMANGALA","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
37,29210125002,NEW CENTURY HPS AND HS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
38,29210101305,SRI RAJARAJESHWARI PUB.SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
39,29210103206,SRS VIDHYANIKETAN DABASPET,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
40,29210113303,SRI LAKSHMI RANGANATHA PUBLIC SCHOOL BHYRANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
41,29210120820,NEW PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
42,29210124502,SRI SIDDALINGESHWARA PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
43,29210124501,VISHAL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
44,29210124701,SUNRISE ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
45,29210125001,KEMPEGOWDA HPS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
46,29210120835,BASAVESWARA ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
47,29210115310,JNANA MANDIRA PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
48,29210125003,VINAYAKA VIDYANIKETAN,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
49,29210103211,"C.V.G PU COLLEGE, DABASPET","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
50,29210120816,EBENEZER ST.THOMAS ENGLISH HS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
51,29210113107,"SOUNDHARYA AMBIKA COMPOSITE P U COLLEGE, T.BEGURU","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
52,29210115308,B P INDIA PUBLIC HPS,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
53,29210113104,DEVINE POWER SCHOOL MAROHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
54,29210120856,"ROYAL INTERNATIONAL PUBLIC SCHOOL, NELAMANGALA","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
