Seq No.,UDISE Code,School Name,School Location
1,29200908205,GOVT MODEL PRIMARY AND HIGH SCHOOL PUTTENHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
2,29200912725,GUHS YALLAGONDAPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
3,29200904358,MODERN COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
4,29200904350,GHS EJIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
5,29200911303,GUHS TANK GARDEN,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
6,29200911907,ST ANTHONY HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
7,29200912803,GUMPS URDU and HS NEELASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
8,29200905552,KARNATAKA PUBLIC SCHOOLS GOVT PU COLLEGE YADIYURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
9,29200911906,GHS JAYANAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
10,29200906737,GHS HOMBEGOWDA NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
11,29200911709,KARNATAKA PUBLIC SCHOOLS GHS YADIYOORU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
12,29200901737,GHS BERETANA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
13,29200910425,KARNATAKA PUBLIC SCHOOLS GHS SARJAPURA ROAD AGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
14,29200902915,GHS GOTTIGERE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
15,29200412801,GHPS (RMSA)KOODLU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
16,29200911608,KARNATAKA PUBLIC SCHOOLS GHS ADUGODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
17,29200912615,BBMP HIGH SCHOOL SHANTHINAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
18,29200901736,GHS BEGUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
19,29200903532,LOURDES BOYS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
20,29200900119,BBMP GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
21,29200911821,CORPORATION HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
22,29200900118,BBMP BOYS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
23,29200109808,SVCK KANNADA TAMIL HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
24,29200906879,BET COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
25,29200907728,BHS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH3"
