Seq No.,UDISE Code,School Name,School Location
1,36220490709,"AIDED NEW PROGRESSIVE HS(AIDED), RACE COURSE ROAD","State : Telangana
District : HYDERABAD
Block : AMBERPET"
2,36220490786,"GOVT. HS(B)HIMAYAT NAGAR,CPL, AMBERPET,HYDERABAD","State : Telangana
District : HYDERABAD
Block : AMBERPET"
3,36220490701,"GOVT. HS(B)OLDMALAKPET, OLDMALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
4,36220490198,"GOVT. HS AMBERPET, ZEENAPA BAGH","State : Telangana
District : HYDERABAD
Block : AMBERPET"
5,36220490703,"GOVT. HS AZAMPURA II, CHADARGHAT","State : Telangana
District : HYDERABAD
Block : AMBERPET"
6,36220490197,"GOVT. HS POLICE BOYS, CPL GROUNDS","State : Telangana
District : HYDERABAD
Block : AMBERPET"
7,36220490747,"IDARA-E-MILLIA HIGH SCHOOL, OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
8,36220490769,"SRI SIDDARTHA MODEL , TILAK NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
9,36220490734,"ST HANNAHS HIGH SCHOOL , AMBERPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : AMBERPET"
10,36220490719,"PRAGATI VIDYANIKETAN HIGH SCHOOL, BAPUNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
11,36220490805,RISHI VIDYANIKETAN HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
12,36220490706,"MOON LIT HIGH SCHOOL, 16-9-550/1","State : Telangana
District : HYDERABAD
Block : AMBERPET"
13,36220490745,"SRI SARASWATHI HIGH SCHOOL, ALICAFE X ROADA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
14,36220490723,"ST PAULS MODEL HIGH SCHOOL, TULASINAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
15,36220490870,SREE RAMACHANDRA JUNIOR COLLEG,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
16,36220490809,"BHARATHI VIDYA BHAVAN HIGH SCHOOL,TULASI NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
17,36220490812,"SAINT OWAIS CENTURY HIGH SCHOOL,OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
18,36220490731,"SRI SATYA SAI VIDYA VIHAR, BAGH AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
19,36220490799,narayana olympiad school,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
20,36220590895,"NARAYANA JR. COLLEGE , NEW NALLAKUNTA,HYDERABAD,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
21,36220490830,"UNIQUE HIGH SCHOOL,OLDMALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
22,36220490829,"ST.MAARK HIGH SCHOOL,KACHIGUDA KAMELA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
23,36220490850,"DELTA HIGH SCHOOL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
24,36220490859,"UNISON SCHOOL ,ALI CAFE CHOWRASTA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
25,36220490858,OSMANIA MEDEL SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
26,36220490814,"HYMAVATHI HIGH SCHOOL,PATEL NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
27,36220490831,"SUPER TWIN CITIES HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
28,36220490724,"LITTLE FLOWERS HIGH SCHOOL, JAISWAL GARDEN","State : Telangana
District : HYDERABAD
Block : AMBERPET"
29,36220490844,INDIAN ACADEMY HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
30,36220490737,"DIVYANJALI HIGH SCHOOL, C E COLONY","State : Telangana
District : HYDERABAD
Block : AMBERPET"
31,36220490733,"SRI SHANTHINIKETAN HIGH SCHOOL, AMBERPET (MANDAL)","State : Telangana
District : HYDERABAD
Block : AMBERPET"
32,36220490740,"ST MARY HIGH SCHOOL NEW NALLAKUNTA, NEW NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
33,36220490720,"ROSE BUDS HIGH SCHOOL BA, MALLIKARJUNA NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
34,36220490725,"NALANDA GRAMMAR HIGH SCHOOL, CHENNAREDDYNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
35,36220490728,"GEETA CONVENT HIGH SCHOOL, CENTRAL EXCISE COLONY","State : Telangana
District : HYDERABAD
Block : AMBERPET"
36,36220490716,"GANDHI HIGH SCHOOL, PATEL NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
37,36220490841,"KRK HIGH SCHOOL,CHENNAREDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
38,36220490851,"DARUL ARQAM SCHOOL OF INDIA ,OLDMALAKPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
39,36220490877,SS JUNIOR COLLEGE OLDMALAKPET,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
40,36220590892,"ELTA JUNIOR COLLEGE , NALLAKUNTA,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
41,36220490730,"KISHORE KUNJ HIGH SCHOOL ,JAISWAL GARDEN","State : Telangana
District : HYDERABAD
Block : AMBERPET"
42,36220490784,"HOWARD TALENT SCHOOL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
43,36220490846,"ANAND JYOTHI H.S ,AKASH NAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
44,36220490801,BHASHYAM MODEL HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
45,36220490808,"NARAYANA E TECHNO SCHOOL,","State : Telangana
District : HYDERABAD
Block : AMBERPET"
46,36220490746,"NAVYA GRAMMAR HIGH SCHOOL, NEAR HANUMAN TMPLE","State : Telangana
District : HYDERABAD
Block : AMBERPET"
47,36220490741,"ST.AUGUSTINE HIGH SCHOOL, NEW NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : AMBERPET"
48,36220490714,"KNOWLEDGE HIGH SCHOOL,MARUTHI NAGAR,AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
49,36220490863,"VELOCITY HIGH SCHOOL, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
50,36220490721,"NEW CHAITHANYA HIGH SCHOO, PREMNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
51,36220490739,"MEDHA HIGH SCHOOL, TILAKNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
52,36220490815,"SRI VIDYA SECONDARY HIGH SCHOOL ,AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
53,36220490738,"CARE MODEL HIGH SCHOOL, TILAKNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
54,36220490711,"SANA HIGH SCHOOL BAPUNAGA, BAPUNAGAR","State : Telangana
District : HYDERABAD
Block : AMBERPET"
55,36220490726,"LITTLE ANGELS HIGH SCHOOL,AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
56,36221000141,TMREIS GIRLS I,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
57,36220490869,"MJPTBCWREIS BOYS, AMBERPET","State : Telangana
District : HYDERABAD
Block : AMBERPET"
58,36220490868,TMREIS (BOYS I) AMBERPET,"State : Telangana
District : HYDERABAD
Block : AMBERPET"
