Seq No.,UDISE Code,School Name,School Location
1,36220991438,"GOVT. HS SVBP ASIF NAGAR,NEAR MILAN THLKIES","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
2,36220991436,"GOVT. HS MOZAMSHAHI, YOUSUF NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
3,36220991443,"GOVT. HS MUSTAIDPURA(GAZ), MUSTAIDPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
4,36220991439,GOVT. HS (B)GOSHACUT DATTATREYA COLONY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
5,36220991430,GOVT.HS HUMAYUN NAGAR NO 1NEAR CHOTI MASJID,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
6,36220991441,"GOVT. HS (G) MUSTAIDPURA, MUSTAIDPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
7,36220991425,"GOVT. HS VIJAYANAGARCLY, OPP.MRO OFFICE","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
8,36220991437,"GOVT. HS KULSUMPURA, KULSUMPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
9,36220991429,"GOVT. HS(G)RED CROSS,MASABTANK, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
10,36220991442,"GOVT. HS DHOOLPET, DHOOLPET","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
11,36220991435,"GOVT. HS DEVALJAMSINGH, DEVALJAMSINGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
12,36220991452,"AIDED SAFADARIA HS(G) AIDED, HUMAYUN NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
13,36220991448,"AIDED HOLY MARY HS AIDED, AC GUARDS","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
14,36220900115,"GOVT. HS TAPPACHABUTRA, BESIDE MM SUPER MARKET","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
15,36220991499,"G.NARAYANAMMA HIGH SCHOOL,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
16,36220991593,"JASMINE HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
17,36220991496,"PEACE ANGELS HIGH SCHOOL, MURADNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
18,36220991513,"APRICOT HIGH SCHOOL, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
19,36220991597,"SHARP SCHOLAR HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
20,36220991466,"JUBLIEE HIGH SCHOOL, VIJAYANAGAR COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
21,36220900143,"ST.ANNS JR.COLLEGE FOR GIRLS , MEHDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
22,36220900114,"TAGORE MEMORIAL SCHOOL, KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
23,36220900117,"NEWGEN HIGH SCHOOL, GUDDIMALKAPUR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
24,36220900178,PRERRNA SCHOOL (HS),"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
25,36220991469,"PARAMAHANSA VIDYA NIKETAN, RAHIMPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
26,36220991515,"DON BAGH HIGH SCHOOL, MARUTHI NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
27,36220991509,"PRIYADARSHINI HIGH SCHOOL, FIRST LANCER","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
28,36220991522,"GODS GLORY HIGH SCHOOL, ZEBA BAGH,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
29,36220900194,MS JUNIOR COLLEGE VIJAYANAGAR COLONY,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
30,36220991475,"NEW CRESCENT HIGH SCHOOL,MALLEPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
31,36220991489,"REYAN HIGH SCHOOL, AMBEDKAR NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
32,36220900145,"VANI JR. COLLEGE FOR GIRLS , MEHDIPATNAM,","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
33,36220991458,"BALWIN HIGH SCHOOL,SEETARAMBAGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
34,36220991575,"SRI SAI SURYA HIGH SCHOOL, KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
35,36220991516,"BRILLIANT GRAMMAR HIGH SCHOOL, HUMAYUN AGAR, ASNR-I","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
36,36220991576,"MOTHER TERESA HIGH SCHOOL, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
37,36220991578,"GOUTAMI VIDYA NIKETAN , TALLAGUDDA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
38,36220991474,"BRIGHT HIGH SCHOOL, SHYAM NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
39,36220900201,"PINNACLE INTERNATIONAL HIGH SCHOOL,ASIF NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
40,36220900234,"NEW CAMBRIDGE HIGH SCHOOL,MEHEDIPATNAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
41,36220991562,"ST MARIA HS, VIJAYA NAGAR COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
42,36220900238,"RAVINDRA BARATHI SCHOOL,ASIF NAGAR II","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
43,36220991487,"ST ALBERTS HIGH SCHOOL, HABEEB NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
44,36220991457,"GEMS HIGH SCHOOL, YADAV SANGAM","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
45,36220991520,"NEHRU CHILDERN H S, NEARA RAMSING PURNA BUS STOP","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
46,36220991460,"SONA HIGH.SCHOOL, SYED ALI GUDA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
47,36220991461,"IQRA HIGH SCHOOL,MEHBOOB COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
