Seq No.,UDISE Code,School Name,School Location
1,36221192156,"GOVT. JUNIOR COLLEGE FOR GIRLS,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
2,36221191882,"AIDED VAIDHIK D P HS AIDED, SHAH ALI BAND","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
3,36221191856,"GOVT. HS QAZIPURA, DANIKA BAGH ROAD","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
4,36221191854,"GOVT. HS DAROOLSHIFA, NEAR JAMA MASZID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
5,36221192158,"GOVT. CITY JUNIOR COLLEGE,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
6,36221191844,"GOVT. HS PETLABURJ, OPP MIRALAM FILTERS","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
7,36221191859,"GOVT. HS(B)MOGALPURA, MOGHALPURA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
8,36221191941,"GOVT. HS DAREECHEBAVAHIR, KISHAN BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
9,36221192014,"GOVT. HS AFZALGUNJ, PURANAPUL","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
10,36221191847,"GOVT. HS KALIKAMAN, TADBAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
11,36221191872,"AIDED VENKAT RAO MEM HS AIDED, BAHADURPURA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
12,36221191869,"AIDED STMARKS BOYSTOWN HS AIDED, BAHADURPURA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
13,36221191884,"AIDED GIRLS HS MJ MARKET AIDED, MOAZZAM JALI MARKET","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
14,36221191849,"GOVT. HS GALBALGUDA, GALBAL GUDA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
15,36221191867,"GOVT. HS TADBAN, INDIRA NAGAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
16,36221191875,"AIDED AGARWAL HS(B) AIDED, CHARKAMAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
17,36221191874,"AIDED LEELABAI M T HS AIDED, RIKAB GUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
