Seq No.,UDISE Code,School Name,School Location
1,36221292072,"GOVT. HS(B)MISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
2,36221292075,"GOVT. HS JANGAMMET, JANGAMMET,NEAR POST OFFICE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
3,36221292069,"GOVT. HS FALUKNUMA, FALAKNUMA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
4,36221292071,"GOVT. HS(G)FALAKNUMA, QUADRI CHAMAN","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
5,36221292074,"GOVT. HS(B)EDIBAZAR, KUMARSADI COLONY","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
6,36221200117,Govt. JRC BANDLAGUDA (GIRLS),"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
7,36221292068,"GOVT. HS KOTLAALIJA,GAJIMEILATH COLONY, HAFIZBABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
8,36221292076,"GOVT. HS(G)TDSINGH, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
9,36221292070,"GOVT. HS(G) MAISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
10,36221292073,"GOVT. HS CHANDRAYANAGUTTA, CHANDRAYANA GUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
11,36221292338,"MS CREATIVE HIGH SCHOOL, MIDHANI , KANCHANBAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
12,36221200120,"AIDED SHARADA VIDYALAYA JR COLLEGE FOR GIRLS ,SHAMSHEERGUNJ,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
13,36221292081,"ST. MARIA HIGH SCHOOL, UPPUGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
14,36221200142,"CAMBRIDGE ASTER HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
15,36221200177,"RISING INDIA HIGH SCHOOL,BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
16,36221200172,"CRESENT HIGH SCHOOL, HAFEEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
17,36221200114,"MASTER MIND HIGH SCHOOL, FATIMA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
18,36221292089,"ST. PETERS HIGH SCHOOL, JANGAMMAT FALAKNUM","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
19,36221292425,NOORI SCHOOL OF BRILLIANCE,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
20,36221292287,"ST.WARIS HIGH SCHOOL,HAFEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
21,36221292296,"SHAKUNTALA HIGH SCHOOL, Bandlaguda","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
22,36221200197,"ST MARIUM HIGH SCHOOL, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
23,36221200125,"ST WARIS ENGLISH MODEL HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
24,36221292105,"JNANA BHARATHI MODEL HIGH SCHOOL, BEHIND GANDHI STATUE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
25,36221292117,"THAKSHASHILA HIGH SCHOOL, NEAR RAJANNA BAVI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
26,36221292123,"ARNA GRAMMAR SCHOOL, SHOIB HOTEL LANE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
27,36221292092,"ST. ALPHONSAS HIGH SCHOOL, CHANDRAYAN GUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
28,36221292095,"SRI SAI GRAMMAR HIGH SCHOOL, RAJANNA BOWLI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
29,36221200179,"HI-TECH CYBER HIGH SCHOOL , CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
30,36221292326,"AL HASNATH ISLAMIC MISSION SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
31,36221200152,"SRI CHAITANYA SCHOOL , ALIYABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
32,36221292293,"NALANDA HIGH SCHOOL, KANDHIKALGATE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
33,36221292322,"GENIUS GRAMMAR SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
34,36221292141,"NEW MODERN HIGH SCHOOL, MOIN BAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
35,36221200134,HYDERABAD SCHOOL (HS),"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
36,36221292346,OWAISI SCHOOL OF EXCELLENCE,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
37,36221292116,"NEW BLUE BIRDS GRAMMER HIGH SHOOL, OPP:OMER HOTEL xROAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
38,36221200105,"ROSERY GRAMMER HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
39,36221200196,"INDO AMERICAN SCHOOL, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
40,36221200150,"MADINA QURANIC MISSION HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
41,36221200111,"ST. HAFSAH HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
42,36221200151,"OWAISI SCHOOL OF EXCELLENCE,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
43,36221292319,"SULTAN UL ULOOM PUBLIC SCHOOL, PHOOL BAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
44,36221292192,ST.XAVIERS HIGH SCHOOL RIYASATHNAGAR,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
45,36221292167,"AYESHA ISLAMIC UPS , NASEEB NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
46,36221292109,"MINHAJ- UL-QURAN HIGH SCHOOL,NEAR VOLTA HOTEL X ROAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
47,36221292171,OXFORD GRAMMAR SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
48,36221600139,"CHANDRA JR COLLEGE, CHARMINAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
49,36221692793,"QULIQUTUBSHAH U APRES JRC,CHR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
50,36221200176,"R.K.S MISSION SCHOOL, 2","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
51,36221292291,"OXFORD GRAMMAR HIGH SCHOOL, UPPUGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
52,36221292302,SPRING DALES HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
53,36221292365,"ASHRAY AKRUTHI FOR HI, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
54,36221292284,A.R INTERNATION SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
