Seq No.,UDISE Code,School Name,School Location
1,36220891157,"TSREIS FOR BOYS BORABANDA, N R R PURAM PHASE II","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
2,36220891285,"GOVT. HSAMEERPET NO.I, KHAIRATABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
3,36220891153,"GOVT. HS YOUSUFGUDA,YOUSUFGUDA CHECKPOST","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
4,36220891263,"TSREIS SCH FOR GIRLS, BORABANDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
5,36220891152,"GOVT. HS ERRAMANJILCLY, ERRAMANZIL COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
6,36220891154,"GOVT. HS SOMAJIGUDA, SRI RAM NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
7,36220891155,"GOVT. HS OLD CBIQTRS,PRACTICING , KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
8,36220891156,"GOVT. HS RAJBHAVAN, KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
9,36220891270,"GOVT. HS(B)NAMPALLY, SECTION COLONY NRR PURAM SITE III","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
10,36220891161,"AIDED RABINDRA N HS AIDED, PUNJAGUTTA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
11,36220891160,"AIDED PRAKASHAM V HS AIDED, KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
12,36220800166,TAHA HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
13,36220891227,"GOUTHAM MODEL SCHOOL,AMEERPET","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
14,36220891162,"AIDED NISH SPH HS AIDED , VEGETABLE MARKET STREET","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
15,36220891207,"FR ROCH MEM. HIGH SCHOOL, KHAIRATABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
16,36220891158,"AIDED RADIANCE HS AIDED, CHINTHAL BASTHI","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
17,36220891204,"BLUE BELLS HIGH SCHOOL, SRINAGAR COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
18,36220800177,"SRI CHAITANYA HIGHS SCHOOL (YELLAREDDYGUDA), 2","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
19,36220891223,"GOOD SHEPHERDS HIGH SCHOOL, SRI KRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
20,36220800197,"NEHA HIGH SCHOOL,SRIRAMNAGAR,YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
21,36220891311,ASHRAY AKRUTHI INCLUSIVE HS FOR CHILDREN WITH SPECIAL NEEDS,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
22,36220891213,"CASTLETOWN HIGH SCHOOL, RAJIVE NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
23,36220891182,"RICHMONDS HIGH SCHOOL, KAMALAPURI COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
24,36220891196,"NEW HOLY FATHIMA HIGH SCH, SRI RAM NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
25,36220891188,"SRI SAIRAM HIGH SCHOOL, SRI KRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
26,36220891166,"NETAJI HIGH SCHOOL, LAKSHMI NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
27,36220800115,"ST.SOLOMON HIGH SCHOOL,SPR HILLS,YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
28,36220800141,"KRISHNAVENI SCHOOL,RAHMATHNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
29,36220891128,"BELLEVUE HIGH SCHOOL,KHAIRTABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
30,36220800125,"SHADAN JR.COLLEGE , KHAIRTHABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
31,36220800193,INDIAN BLOSSOMS HS,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
32,36220891310,ST JOSEPHs HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
33,36220800105,"MAHAGYAN HIGH SCHOOL,SRIRAMNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
34,36220891222,"SAVIOUR HIGH SCHOOL,M.SMAQTA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
35,36220891175,"GENIUS CITIZENS HIGH SCHOOL, YOUSUF GUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
36,36220891176,"NIRMALA HIGH SCHOOL, HILL COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
37,36220891172,"ST.ALPHONSAS HIGH SCHOOL,SIDDHARADHANAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
38,36220800110,"PROSPER TALENT HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
39,36220891184,"SHANTI VIDYA NIKETAN HIGH SCHOOL,RAHMATHNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
40,36220800176,"SRI CHAITANYA HS,BESIDE SARADHI STUDIO,AMEERPET,HYDERABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
41,36220891178,"HOTLINE HIGH SCHOOL, KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
42,36220891186,"RADIANT HIGH SCHOOL, POST SREENAGAR COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
43,36220891225,"BHARATA BHARATI PUBLIC SCHOOL, SRIKRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
44,36220891181,"DAYANAND HIGH SCHOOL, ANANDANAGAR COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
45,36220891183,"BUDS & FLOWERS HIGH SCHOOL, KOAMALAPURI COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
46,36220891191,"ST JOSEPHS HIGH SCHOOL, BORABANDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
47,36220891168,"GOOD SAMARITAN HIGH SCHOOL, VENGALARAO NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
48,36220891143,"KENWORLD SCHOOL, BORA BANDA,N R R SITE-I","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
49,36220891159,"RAHMANIA IDEAL HIGH SCHOOL, A C GUARDS","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
50,36220800112,"MATRIX HIGH SCHOOL,RAHAMATHNAGAR,YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
51,36220800133,"SRI CHAITANYA JR.KALASALA , YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
52,36220800102,"URWAH HIGH SCHOOL,RAHAMATHNAGAR,YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
53,36220891329,SRI ADHARSH JUNIOR COLLEGE,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
54,36220891250,"WISDOM HIGH SCHOOL , SRIRAMNAGAR YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
55,36220891241,"SRI SAIMOHAN TALENT , SANJAY NAGAR KBAD II","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
56,36220891189,"SRI SAIKIRAN HIGH SCHOOL, SRI KRISHNA NAGR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
57,36220891170,"MT.HELICON PUBLIC SCHOOL, JAFFAR ALI BAGH","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
58,36220891198,"SAI KRUPA HIGH SCHOOL, SRI KRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
59,36220891291,"RADIANT HIGH SCHOOL,ANAND NAGAR COL","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
