Seq No.,UDISE Code,School Name,School Location
1,36221390187,"GOVT. HS(G) NEW NALLAGUTTA, RAM GOPAL PET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
2,36221390194,"GOVT. HS NEW BOIGUDA, NEW BHOIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
3,36221390195,"GOVT. HS(G)REZIMENTAL BZR, REGIMENTAL BAZAR","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
4,36221390189,"GOVT. HS(B)BEGUMPET NO 2, BEGUMPET NO.2","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
5,36221390186,"GOVT. HS(G)BANSILALPET, BANSILAL PET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
6,36221390191,"GOVT. HS(G)KINGSWAY, R P ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
7,36221390192,"GOVT. HS(B) HILLSSTREET, HIMMATH NAGAR","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
8,36221390193,"GOVT. HS MARKET, OLD ZAIL STREET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
9,36221390188,"GOVT. HS(B) NALLAGUTTA , BALAMRAI","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
10,36221392237,"GOVT. HS (B) BANDIMET, PATTIGADDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
11,36221390196,"GOVT. HS(B)KALASIGUDA, KALASIGUDA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
12,36221300132,"GOVT.JR.COLLEGE(NEW) , SECUNDERABAD,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
13,36221390190,"GOVT. HS(B) YMCA SECBAD, OPP : YMCA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
14,36221390197,"GOVT. HS(G) NALLAGUTTA OLD, NALLAGUTTA OLD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
15,36221392209,"AIDED MAHBUBCLG HS AIDED, R P ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
16,36221390185,"GOVT. HS AUDIA MEMORIA, OLD GHAS MANDI","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
17,36221392213,"AIDED KEYS HS(G) AIDED, GOPALPURAM","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
18,36221390184,"GOVT. HS RASOOLPURA POLICE LINE, RASOOLPURA","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
19,36220800119,"AIDED MAHARISHI VEDA VIGYAN MAHA VIDYALAYA ,BEGUMPET,","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
20,36221392212,"AIDED TAGORES HOME AIDED, PARAMJYOTHI STREET","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
21,36221392203,"AIDED STANTHONYS HS(G) AIDED, SUBHASH ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
22,36221392207,AIDED ST. FRANCIES HS(G) AIDED,"State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
23,36221390141,"ST. MARKS PROGRESSIVE SCHOOL, D V COLONY,MINISTER ROAD","State : Telangana
District : HYDERABAD
Block : SECUNDERABAD"
