Seq No.,UDISE Code,School Name,School Location
1,36220790295,"LITTLE ROSES HIGH SCHOOL, NOR NAGAR, RD NO.10 BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
2,36220790162,"GOVT. HS FILMNAGAR, JUBLIHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
3,36220790230,"GOVT. HS BANJARA HILLS RD NO 7, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
4,36220790255,"TSWREIS SHAIKPET,","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
5,36220790229,"GOVT. HS NBT NAGAR (GOWLI GUDA), BANJARA HILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
6,36220790244,"SVR EDUCATIONAL ACADAMY HS, NBT NAGAR RD NO12","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
7,36220790239,"SRI SARASWATHI HS, GOWRI SHANKAR CLY, BANJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
8,36220790237,"LTTLE STAR HIGH SCHOOL GAYATRIHILLS, JUBILEEHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
9,36220790189,"DIAMOND JUBILEE HIGH SCHOOL, NIZAM CLY, TOLICHOWKI","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
10,36220700142,ST.JOSEPHS JUNIOR COLLEGE TOLICHOWKI,"State : Telangana
District : HYDERABAD
Block : SHAIKPET"
11,36220700109,"USHODAYA HIGH SCHOOL,SHAIKPT VINAYAKNAGAR","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
12,36220790168,"NEO HOLY FATIMA HIGH SCHOOL, BRINDAVAN COLONY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
13,36220790276,"CHANAKYA SCHOOL (HS), SHAIKEPT VIL","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
14,36221500170,"SULTAN UL-ULOOM JR.COLLEGE , BANJARA HILLS,","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
15,36220700131,"IQRA HIGH SCHOOL, HAKEEMSHA COLONY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
16,36220790172,"NAVA VIDYA NIKETHAN HIGH SCHOOL, ADITYA NAGAR COLONY","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
17,36220790269,"GNANAKSHETRA HIGH SCHOO, VENKATAGIRI, ICRISAT","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
18,36220790271,"SRI SAI RAM HIGH SCHOOL VENKATAGIRI, BAJARAHILLS","State : Telangana
District : HYDERABAD
Block : SHAIKPET"
