Seq No.,UDISE Code,School Name,School Location
1,36220290283,"GOVT. HS(G)BOLLARAM, TIRUMALAGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
2,36220290275,"GOVT. HS(G)BOWENPALLY, TIRUMALAGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
3,36220290281,"GOVT. HS(B)TRISHULPARK, BOLLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
4,36220290279,"GOVT. HS(B)BOLLARAM, RISALA BAZAR,BOLLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
5,36220290277,"GOVT. HS MUDFORT, TIRUMALAGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
6,36220290278,"GOVT. HS(B)TIRUMALGIRI, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
7,36220290276,"GOVT. HS(B)BOWENPALLY, TIRUMALGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
8,36220290293,"SRI SAI GRAMMAR HIGH SCHO, BAPUJI NAGAR","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
9,36220290290,"AIDED HOLYFAMILY HS(AIDED), TRIMULGHERRY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
10,36220290280,"GOVT. HS(G)TIRUMALGIRI, TIRUMALAGIRI.SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
11,36220290543,"NEW USHODAYA HS, SUBASH NAGAR","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
12,36220290284,"GOVT. HS(G)PICKET, PICKET","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
13,36220290285,"GOVT. HS BOLLARAM, BOLARAM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
14,36220290295,"GUNROCK ENCLAVE HIGH SCHOOL, KARKHANA","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
15,36221300183,"ST JOSEPHS JRC,SEC","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
16,36220290519,"CENTENARY BAPTIST CHURCH , CHURCH HOUSE","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
17,36220290526,"LITTLE FLOWER PS , TEMPLE ALWAL","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
18,36220290557,"SAI MODEL H.SCHOOL, BOWENPALLY SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
19,36220290703,GOUTHAM MODEL HIGH SCHOOL BAPUJI NAGAR BOWENPALLY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
20,36220290544,"MODEL MISSION HS, BOLLARAM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
21,36220290546,"CMR MODEL HS, SEETHARAMPURAM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
22,36220290520,"ST ANNES HIGH SCHOOL, SARASVATINAA OLONY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
23,36220290298,"MOUNT CARMEL HIGH SCHOOL, NEW BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
24,36220290586,"ST.RITA HIGH SCHOOL, NEW BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
25,36220290593,BHASHYAM SCHOOL BOWENPALLY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
26,36220290292,"VEDAVATHI MEMORIAL HIGH SCHOOL, LAXMINAGAR, PICKET,","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
27,36220290707,SANTHOSHI MATHA HS LAL BAZAR TRIMULGHERRY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
28,36220290504,"THE BRILLIANT SCHOOL, CHINNAKOKA","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
29,36220290299,"SHASTRY HIGH SCHOOL, BOLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
30,36220290506,"VIJAY MARY HIGH SCHOOL, BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
31,36220290507,"ST.JOSEPHS HIGH SCHOOL, HYDEABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
32,36220290513,"SRI ARAVINDA BHARATHI SCHOOL, GUNROCK","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
33,36220290514,"GOWTHAM MODEL SCHOOL, VASAVI NAGAR","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
34,36220290503,ST PETERS GRAMMER SCHOOL JAYANAGAR BOWENPALLY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
35,36220290510,"ST. ANNS HIGH SCHOOL BOLARUM, TIRUMALAGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
36,36220290508,"VALERIAN GRAMMAR SCHOOL, BOLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
37,36220290502,"OXFORD GRAMMAR HIGH SCHOOL, TADBUND,PANCHAVATI COLONY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
38,36220290297,"THE CITY HIGH SCHOOL , TRIVEAI COLONY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
39,36220290501,"FAIZAN HIGH SCHOOL, PENSION LANE, NEW BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
40,36220290597,SVVV Oriental HS,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
41,36220290708,"NARAYANA OLYMPIAD SCHOOL, JAYA NAGAR BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
42,36220290554,"LITTLE FLOWER H.SCHOOL, OLD ALWAL SEUNDERBAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
43,36220290538,"ST PETERS HIGH SCHOOL, SITARAMPUR","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
44,36220290573,"BHASHYAM HIGH SCHOOL, VAVASI NAGAR KARKHANA","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
45,36220290591,SRI CHAITANYA SCHOOL BOWENPALLY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
46,36220290585,"DIKSHA HIGH SCHOOL, RISALA BAZAR BOLARAM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
47,36220290230,"GANDHIAN SCHOOL SECUNDERA, OPP LAXMINAGAR, PICKET","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
48,36220290576,"CVP HIGH SCHOOL, KAKAGUDA","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
49,36220290711,SUNFLOWER SCHOOLSIKH ROAD,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
50,36220290717,BOLTON SCHOOL,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
51,36220290713,ocimum international school,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
52,36220290709,DELHI PUBLIC SCHOOL DIAMONT POINT SIKH VILLAGE TRIMULGHERRY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
53,36220290714,akshara vaagdevi international schooly,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
54,36220290712,"PALLAVI MODEL SCHOOL,BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
55,36220290715,CMR INTERNATIONAL SCHOOL BOWENPALLY,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
56,36220290720,ARMY PUBLIC SCHOOL BOLLARAM,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
57,36220200101,ARMY PUBLIC SCHOOL R K PURAM,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
58,36220290596,"KENDRIYA VIDYALAYAM ,PICKET","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
59,36220290701,TMREIS (BOYS) TIRUMALAGIRI,"State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
60,36220290595,"KENDRIYA VIDYALAYAM ,THIRUMALAGIRI","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
61,36220290599,"KENDRIYA VIDYALAYAM ,BOLLARAM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
