Seq No.,UDISE Code,School Name,School Location
1,36210700367,ST GABRIEL`S HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
2,36210700363,ZPHS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
3,36210790206,ZPHS MACHABOLLARAM,"State : Telangana
District : MEDCHAL
Block : ALWAL"
4,36210700362,ZPHS KOWKOOR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
5,36210700373,ST XAVIERS CONVENT HIGH S,"State : Telangana
District : MEDCHAL
Block : ALWAL"
6,36210700389,HOLY ANGELS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
7,36210790212,SAI TEJA VIDYA NIKETHAN HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
8,36210700365,MODEL MISSION HIGH SCHOOL(LOTHKUNTA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
9,36210700805,PRIZE THE SCHOOL YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
10,36210700386,ST GEORGE GR SCHOOL(YAPRAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
11,36210790213,SR DIGI HS( AMBEDKAR NAGAR ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
12,36210700370,NEW LIFE GRAMMAR HIGH SCH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
13,36210700371,PALLAVI PROGRESSIVE HIGH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
14,36210890545,SRI SAI SARVANI VIDHYA PEET HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
15,36210790226,ADARSH CONVENT HIGH SCHOOL(VASAVI NAGAR KHARKHANA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
16,36210890249,st.pious x school prashanth nagar,"State : Telangana
District : MEDCHAL
Block : ALWAL"
17,36210790201,SRI CHAITANYA HS (BOLLARAM RLY STATION),"State : Telangana
District : MEDCHAL
Block : ALWAL"
18,36210890218,ST PAULS MODEL HS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
19,36210790220,ROSARY HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
20,36210700383,DAFFODIL CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
21,36210700376,SREE NARAYANA VIDYA BHAVAN (KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
22,36210700395,SANTOSHI EXCELLENT (KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
23,36210700101,LITTLE FLOWER SCHOOL LOTHUKUNTA UP,"State : Telangana
District : MEDCHAL
Block : ALWAL"
24,36210790209,"MAHABODHI VIDYALAYA(BUDEVINAGAR, VENKATAPURAM)","State : Telangana
District : MEDCHAL
Block : ALWAL"
25,36210790217,SRI CHAITANYA SCHOOL KOWKOOR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
26,36210790246,DR. NARAYANA JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : ALWAL"
27,36210790221,PRINCE HIGH SCHOOL (AMBEDKAR NAGAR OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
28,36210700382,GENESIS GRAMMAR HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
29,36210790222,AKSHARA VIDYALAYA HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
30,36210700391,"TRIVENI HIGH SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
31,36210790224,NARAYANA CONCEPT HS ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
32,36210790223,BETHANY ACADEMY HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
33,36210700381,PRAGATHI HIGH SCHOOL YAPR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
34,36210701001,SRI CHAITHANYA JR KALASHALA,"State : Telangana
District : MEDCHAL
Block : ALWAL"
35,36210790230,PUDAMI THE ENGLISH SCHOOL(OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
36,36210790228,ST MICHAILS SCHOOL(JONNABANDA) ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
37,36210700804,"INDUS UNIVAERSAL SCHOOL,YAPRAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
38,36210700701,KOTWAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
39,36210790237,"PALLAVI MODEL SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
