Seq No.,UDISE Code,School Name,School Location
1,36210200803,ZPHS BOURAMPET,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
2,36210200406,ZPHS KOMPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
3,36210200305,ZPHS DUNDIGAL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
4,36210200810,ECOLA MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
5,36210200703,ZPHS BAHADURPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
6,36210200904,"ST MARYS SCHOOL, MALLAMPET","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
7,36210200606,VIVEKANANDA HIGH SCHOOL(GANDIMAISAMMA),"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
8,36210200804,"GAYATHRI VIDYALAYAM, BOURAMPET .","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
9,36210201004,ZPHS DOOLAPALLY,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
10,36210200506,ST.IGNATIUS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
11,36210200812,THE ENGLISH SCHOLARS HS,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
12,36210200808,DR KKRS GOWTHAM SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
13,36210200409,"SRI CHAITANYA SCHOOL, KOMPALLY","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
14,36210200507,N S K K HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
15,36210200312,"SRI CHAITANYA, KOMPALLY-3","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
16,36210200608,PRAGATHI MODEL HS,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
17,36210200809,VICTORY MODEL HS,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
18,36210200407,SPS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
19,36210200307,KENDRIYA VIDYALAYAM NO.1,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
20,36210200705,KRISHANVENI SCHOOL (BAHADURPALLY),"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
21,36210200306,"KENDRIYA VIDYALAYAM NO.2, DUNDIGAL","State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
22,36210200508,N S K K JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
23,36210200704,THE CREEK PLANET SCHOOL,"State : Telangana
District : MEDCHAL
Block : DUNDIGAL GANDIMAISAMMA"
