Seq No.,UDISE Code,School Name,School Location
1,36211190260,"GITHAM JR COLLEGE, KAMALANAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
2,36211100350,ZPHS KUSHAIGUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
3,36211100109,ZPHS BALAJINAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
4,36211100373,CRYSTAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
5,36211100351,ZPHS KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
6,36211100108,ZPHS JAWAHARNAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
7,36211100203,MPHS CHERLAPALLY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
8,36211100129,"NOBLE HIGH SCHOOL, JAWAHARNAGAR (CT)","State : Telangana
District : MEDCHAL
Block : KAPRA"
9,36211100352,"ST. JOSEPHS HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
10,36211100354,OXFORD MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
11,36211100383,INDO-AMERICAN SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
12,36211190235,SR DIGI SCHOOL DAMMAI GUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
13,36211190263,"GEETHANJALI JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
14,36211100389,SRI VIDYA BHARATI MO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
15,36211190220,"NOBLE HIGH SCHOOL, KAPRA (WARD NO.1)","State : Telangana
District : MEDCHAL
Block : KAPRA"
16,36211100362,"GOWTHAM MODEL SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
17,36211100360,"VIJAYA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
18,36211100337,ST ANTHONYS GRAMMAR SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
19,36211190229,SRI CHAITHANYA HIGH SCHOOL KUSHAIGUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
20,36211190215,SRI CHAITANYA TECHNO HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
21,36211190237,ST JOSEPHS MODEL SCHOOL (HIGH SCHOOL),"State : Telangana
District : MEDCHAL
Block : KAPRA"
22,36211100165,ST.JOSEPHS MISSIONA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
23,36211100143,EKALAVYA MEMORIAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
24,36211190228,SR DIGI HISH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
25,36211190217,SRI AUROBINDOS SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
26,36211190252,RISE JR COLLEGE KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
27,36211190211,SERENITY MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
28,36211100386,BHASHYAM HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
29,36211100167,"KRISHNA VENI TALENT SCHOOL, BALAJINAGAR","State : Telangana
District : MEDCHAL
Block : KAPRA"
30,36211100113,JAWAHAR NAGAR PENION SCHO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
31,36211190214,"SR DIGI HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
32,36211190253,"GOWTHAM JR COLLEGE, EXT.COUNTER, K GUDA","State : Telangana
District : MEDCHAL
Block : KAPRA"
33,36211100361,SRI CHAKRI VIDYA NIKETHAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
34,36211190201,"RAVINDRA BHARATHI SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
35,36211100358,VISHWA BHARATHI ADARSHA V,"State : Telangana
District : MEDCHAL
Block : KAPRA"
36,36211100359,"VIGNAN HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
37,36211190250,"UNITIES(VOC) JR COLLEGE KAMALANAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
38,36211190264,"Sri Viganan School,Sainikpuri","State : Telangana
District : MEDCHAL
Block : KAPRA"
39,36211100213,"SAI VYSHNAVI JR COLLEGE, CHERLAPALLY","State : Telangana
District : MEDCHAL
Block : KAPRA"
40,36211190254,"SRI ADARSH JR COLLEGE, KAMALANAGAR, ECIL","State : Telangana
District : MEDCHAL
Block : KAPRA"
41,36211190208,VIVEKANANDA MODEL HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
42,36211100366,"SIDDHARTHA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
43,36211100388,SRI SARASWATI SHISHU,"State : Telangana
District : MEDCHAL
Block : KAPRA"
44,36211100372,SAI SIDHARTHA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
45,36211100370,SRI NALANDA GRAMMER SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
46,36211100375,M R R HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
47,36211100353,PACE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
48,36211190226,"KAKATIYA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
49,36211100205,SRI SHIRIDI SAI VIDYANIKETHAN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
50,36211190251,TAPPERS JR COLLEGE SAINIK ENCLAVE KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
51,36211100204,SRI SAI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
52,36211100356,HOLY MOTHER H.SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
53,36211100324,"BRILLIANT GRAMMAR HIGH SC, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
54,36211190238,"GOUTHAMI HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
55,36211100363,CAL PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
56,36211190233,FOSTER BILLA BONG HIGH SCHOOL(SAKETH),"State : Telangana
District : MEDCHAL
Block : KAPRA"
