Seq No.,UDISE Code,School Name,School Location
1,36211300609,ZPHS KEESARA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
2,36211300610,"TSREIS BOYS,KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
3,36211301410,ZPHS NAGAWARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
4,36211301609,ZPHS RAMPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
5,36211301409,ZPHS DAMMAIGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
6,36211300905,ZPHS CHEERIYAL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
7,36211300620,lorvens school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
8,36211300504,ZPHS YADGARPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
9,36211300913,MARY MOTHER OF DIVINE GRACE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
10,36211301417,SERENITY MODEL HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
11,36211300911,"PUDAMI ENGLISH, HS CHEERIYAL","State : Telangana
District : MEDCHAL
Block : KEESARA"
12,36211300802,DAVIS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
13,36211301416,ST.ANTHONYS GRAMMAR,"State : Telangana
District : MEDCHAL
Block : KEESARA"
14,36211301432,ST.PETERS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
15,36211300613,"PUDAMI ENGLISH, HS KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
16,36211301411,RUSHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
17,36211301620,"Reqelford International School ,Rampally","State : Telangana
District : MEDCHAL
Block : KEESARA"
18,36211301427,PUDAMI THE ENGLISH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
19,36211301431,RANKERS Pri. to HIGH SCHOOL NAGARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
20,36211300611,ARUNDATHI VIDYALAYA HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
21,36211300614,PUDAMI THE N HS,"State : Telangana
District : MEDCHAL
Block : KEESARA"
22,36211300617,KLR JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : KEESARA"
23,36211300914,SRI NARAYANA GLOBAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
24,36211300615,LOTUS NATIONAL HS,"State : Telangana
District : MEDCHAL
Block : KEESARA"
25,36211301415,ST.MARY BETHONY CON,"State : Telangana
District : MEDCHAL
Block : KEESARA"
26,36211301610,OM SRI MAHAKALI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
27,36211300616,ANISH COLLEGE OF COMMERCE,"State : Telangana
District : MEDCHAL
Block : KEESARA"
28,36211300915,SR PRIME SCHOOL CHEERIYAL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
29,36211301426,SHIVAPPA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
30,36211300626,oak valeey school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
31,36211301505,"St. Andrews School, Ahmed guda","State : Telangana
District : MEDCHAL
Block : KEESARA"
32,36211300906,VARDHANA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
33,36211300636,DEVS (VOC) COLLEGE ANKIREDDYPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
34,36211300619,SRI GAYATRI JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : KEESARA"
35,36211301506,LEAD INDIA BHARATHRATHNA SCHOOL AHMEDGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
