Seq No.,UDISE Code,School Name,School Location
1,36210500465,"NARAYANA CONCEPT SCHOOL, KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
2,36210500449,ZPHS KUKATPALLY,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
3,36210590285,"Kenndy High the Magnet School, Kukatpally","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
4,36210500126,ZPHS SHAMSHIGUDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
5,36210590277,"AVINASH COLLEGE OF COMMERCE, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
6,36210500302,RAJA RAM VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
7,36210500482,"GOVT.JR.COLLEGE , KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
8,36210500127,ZPHS RP COLONY,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
9,36210500222,ZPHS MOOSAPET (G),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
10,36210590251,"ST.MARYS HIGH SCHOOL, VASANTH NAGAR","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
11,36210500221,ZPHS MOOSAPET (B),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
12,36210500703,ZPHS HYDERNGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
13,36210500460,OXFORD GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
14,36210500564,"ST, ALPHONSASHIGH SCHOOL","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
15,36210590237,"WISDOM HIGH SCHOOL (RG NAGAR, PRASHANTI NAGAR)","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
16,36210500614,SRI CHAITANYA HIGH SCHOOL PS(SP NAGAR),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
17,36210500212,CAREWOOD CONCEPT SCHOOL (MOOSAPET),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
18,36210500226,VIVEKANANDA CONVENT HS.,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
19,36210500122,S.S.D. GRAMMER SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
20,36210590241,"Sri Chaitanya Junior Kalasala,Vivek Nagar","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
21,36210590240,"Sri Chaitanya Junior Kalasala,srinivas complex","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
22,36210590238,"Sri Chaitanya Junior Kalasala,Sai Vikram","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
23,36210500554,BAPUJI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
24,36210500301,SAFDARNAGAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
25,36210500428,"KAKATIYA SCHOOL, KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
26,36210500446,BHAGYANAGAR MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
27,36210500500,SREE VARDHAN JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
28,36210590245,VELOCITY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
29,36210590243,"SIDDARTHA HIGH SCHOOL, ALLWYN COLONY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
30,36210590206,"SRI CHAITANYA HIGH SCHOOL, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
31,36210500573,ROSARY HIGH SHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
32,36210500527,BHASHYAM HS (KPHB),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
33,36210590208,GEETANJALI OLYMPIAD HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
34,36210500516,SR DIGI SCHOOL (SHUBODAYA COLONY),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
35,36210500569,BHASHYAM HIGH SCHOOL V.V.NAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
