Seq No.,UDISE Code,School Name,School Location
1,36210101806,ZPHS GUNDLAPOCHAMPALLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
2,36210102754,"GOVT. JR. COLLEGE , MEDCHAL, RANGA REDDY DIST.","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
3,36210102718,"TSWREIS SCHOOL, KISTAPUR","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
4,36210102305,ZPHS PUDUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
5,36210102717,ZPHS MEDCHAL (G),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
6,36210102716,ZPHS MEDCHAL (B),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
7,36210100502,ZPHS NUTHANKAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
8,36210101303,ZPHS ATHVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
9,36210102719,SRI VIVEKANANDA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
10,36210101405,ZPHS DABILPUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
11,36210100203,ZPHS SREERANGAVARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
12,36210101006,ZPHS RAVALKOLE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
13,36210101706,ZPHS GOWDAVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
14,36210102722,PAPARAYA VIDYALAYAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
15,36210101813,SRI CHAITANYA H.S.,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
16,36210100602,king victors grammar school,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
17,36210102767,SRI PRATHIBHA MODEL SCHOOL (HS),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
18,36210102308,BNR SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
19,36210102752,S S G SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
20,36210102740,NAAGARJUNA TALENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
21,36210101304,ST.CLARET HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
22,36210102774,REDSON JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
23,36210102405,"PRIVATE SSR HIGH SCHOOL, RAJABOLLARAM","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
24,36210102773,SCHOLARS JUNIOUR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
25,36210102728,ROSERY CONVENT HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
26,36210102720,A.C.M.RESIDENTIAL HIGH SC,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
27,36210100603,st patricks high school,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
28,36210101406,NAZARENE GRAMMAR HIGH SCH,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
29,36210102775,NSR JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
30,36210102723,CYBER AGE PUPILS SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
31,36210102735,"ST. ANNS HIGH SCHOOL, MEDCHAL","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
32,36210102747,"OXFORD TALENT SCHOOL, MEDCHAL","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
33,36210102729,"SADHANA HIGH SCHOOL, MEDCHAL","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
34,36210101306,HITECH M R HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
35,36210102762,SRI CHAITANYA TECHNO SCHOOL(MEDCHAL),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
36,36210102732,NEW LITTLE LILLY HS,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
37,36210101817,"ST PETERS HIGH SCHOOL, GUNDLAPOCHAMPALLE","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
38,36210102307,ST MARY CONVENT HIGH SCHO,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
39,36210101819,"SRI CHAITANYA TECHNIO SCHOOL, GUNDLAPOCHAMPALLY","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
40,36210101310,Geethanjali high school (Athvelly),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
41,36210101307,SANSKAR INNOVATIVE SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
42,36210101815,ABHAYA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
43,36210101808,"ST AGNES HIGH SCHOOL, GUNDLAPOCHAMPALLE","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
44,36210102003,TIME SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
45,36210102002,NIRAJ INTERNATIONAL SCHOO,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
46,36210101810,DRS INTERNATIONAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
