Seq No.,UDISE Code,School Name,School Location
1,36211500403,ZPHS LAKSHAMPUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
2,36211500804,ZPHS KESAVARAM,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
3,36211501304,ZPHS UDDEMARRI,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
4,36211500103,ZPHS KOLTHUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
5,36211500502,ZPHS MUDICHITALAPALLE,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
6,36211501004,GENIUS GRAMER SCHOOL,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
7,36211500202,ZPHS ANANTHARAM,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
8,36211501305,"GOOD SHEPHERD SCHOOL, UDDEMARRI","State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
9,36211501702,ZPHS KESAVAPUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
10,36211501005,"AKSHARA HIGH SCHOOL, JAGGAMGUDA","State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
