Seq No.,UDISE Code,School Name,School Location
1,36210490362,ZPHS JAGADGIRINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
2,36210490207,"GOVT. JUNIOR COLLEGE, QUTHBULLAPUR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
3,36210490443,JANANI MODEL HIGH SC,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
4,36210490402,ZPHS SURARAM COLONY,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
5,36210490361,ZPHS SHAPURNAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
6,36210490359,ZPHS GAJULARAMARAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
7,36210490365,ZPHS JEEDIMETLA,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
8,36210400153,"SAHASRA SMART SCHOOL, KAISAR NAGAR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
9,36210400120,"AKSHARA THE SCHOOL, QUTHUBULLAPUR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
10,36210490360,ZPHS GURUMURTYNGR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
11,36210490417,ZPHS NEHRU NAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
12,36210490363,ZPHS QUTUBULLAPUR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
13,36210400141,ZAAMIN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
14,36210490358,ZPHS SURARAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
15,36210490364,ZPHS GANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
16,36210490481,PATEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
17,36210490497,"SRI CHAITANYA TECHNO SCHOOL, CHINTAL","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
18,36210490342,SRI BAPUJI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
19,36210400128,A N HS,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
20,36210490399,NEW LITTLE LILLY HIGH SCH,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
21,36210490408,ST MOSES HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
22,36210490496,PRIYADARSHINI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
23,36210490341,DHATRAK PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
24,36210490374,TAGORES HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
25,36210490457,NAVAJYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
26,36210490391,NAVA JYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
27,36210490471,VIKAS GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
28,36210490461,SHRI VIDYANJALI SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
29,36210490555,"RAINBOW INTEGRATED JUNIOR COLLEGE, CHINTAL","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
30,36210490375,"NAGARJUNA HIGH SCHOOL, CHINTAL","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
31,36210490558,TRIVIDYAA JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
32,36210490405,SRI VENUGOPALA SWAMY HIGH,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
33,36210490208,SHERWOOD PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
34,36210490251,good shapherd high school,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
35,36210490404,ST ISAAC ADVENT HIGH SCHO,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
36,36210490242,SADHANA MEMORIAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
37,36210490225,KRUSHI CONCEPT SCHOOL (SURARAM COLONY),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
38,36210490429,NETAJI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
39,36210490230,SRI SAI VIDYA NIKETAN HIGH SCHOOL (GIRI NAGAR),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
40,36210490233,SRI SAI VIGNAN HS (SHIRDI HILLS),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
41,36210490427,SURABHI VIDYALAYAM,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
42,36210490257,Smaskruthi Vidyalaya,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
43,36210490484,S.R DIGI SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
44,36210490518,"GEETANJALI HIGH SCHOOL, PADMA NAGAR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
45,36210490483,SHANTHINIKETHAN H.SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
46,36210490184,ST.ANTHONYS SCHOOL,"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
47,36210400143,BAPUJI HIGH SCHOOL(LENIN NAGAR),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
48,36210400131,"SRI CHAITANYA HIGH SCHOOL, QUTHUBULLAPUR","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
49,36210490273,"Akshara Concept School, Bhavani Nagar","State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
50,36210490519,ST ANTHONYS HIGH SCHOOL(CHINTHAL),"State : Telangana
District : MEDCHAL
Block : QUTHBULLAPUR"
