Seq No.,UDISE Code,School Name,School Location
1,36230800105,ZPHS INJAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
2,36230800904,ZPHS BANDARAVIRYAL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
3,36230800206,ZPHS KUNTLOOR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
4,36230803506,ZPHS PEDDA AMBERPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
5,36230800402,ZPHS QUTUBULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
6,36230803304,ZPHS TORRUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
7,36230801506,ZPHS KOHEDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
8,36230801102,ZPHS THARAMATIPET,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
9,36230801603,ZPHS ANAJPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
10,36230801403,ZPHS PASUMAMULA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
11,36230802105,ZPHS ABDULLAPUR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
12,36230803520,SATHYAM TECHNO HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
13,36230800103,GOUREE CHANDRA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
14,36230802304,ZPHS BATASINGARAM,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
15,36230802714,AIDED ST.JOSEPHS HS.,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
16,36230800207,LAYOLA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
17,36230802713,ZPHS RAGANNAGUDA,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
18,36230803404,SHANTHI NIKETHAN CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
19,36230802728,SRI VANI MODEL HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
20,36230802718,THE THAPOVAN HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
21,36230802723,MARUTHI CONCEPT UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
22,36230803412,SAI CHAITANYA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
23,36230803507,RAJASREE VIDYA MANDIR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
24,36230801405,"NARAYANA EDUCATIONAL SOCIETY, PASMAMLA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
25,36230802717,K B SAINIK HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
26,36230801505,SANKEERTH GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
27,36230802735,ST.JOSEPHS SCHOOL(E/M),"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
28,36230803523,VYAS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
29,36230801515,SRI VIJAYA SAI GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
30,36230802106,"NEW CHAITANYA HIGH SCHOOL, ABDULLAPUR","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
31,36230803407,NIMMAGADDA ANANDAMMA MEMORIAL GIRLS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
32,36230800216,SUN RAYS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
33,36230803201,VASHISTA MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
34,36230802715,"LITTLE FLOWER GRAMMER SCH, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
35,36230802716,"ST. PAULS HIGH SCHOOL, KAMMAGUDA","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
36,36230802730,LOYOLA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
37,36230803409,INDIRA PUBLIC HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
38,36230803406,S.R EDUSMART MANTESSORI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
39,36230803514,CANDOR SHRINE I SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
40,36230803009,KESHAVA REDDY CONCEPT HS,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
41,36230802108,"KRISHNA VENI TALENT SCHOOL, ABDULLAPUR","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
42,36230802719,"BALA KARTHIKEYA CONCEPT SCHOOL, TURKAYAMJAL","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
43,36230802614,NEELAKANTH VIDYAPEETH RESIDENTIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
44,36230802732,SANKALP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
45,36230800218,TMREIS KUNTLOOR,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
46,36230803005,INDU INTERNATIONAL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
47,36230803006,"UNICENT SCHOOL, TATTIANNARAM","State : Telangana
District : RANGAREDDY
Block : ABDULLAPURMET"
