Seq No.,UDISE Code,School Name,School Location
1,36231300639,KGBV AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
2,36231300205,ZPHS AKUTHOTAPALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
3,36231300664,"TSWREIS SCHOOL, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
4,36231300630,ZPHS (G) AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
5,36231300635,ZPHS AMANGAL (BUS STAND),"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
6,36231300638,HS LITTLE SCHOLARS AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
7,36231300644,"HS VIGNAN GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
8,36231300636,"HS AMANGAL GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
9,36231300652,"HS RISHI TALENT, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
10,36231300660,"HS BRILLIANT GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
11,36231300634,"HS VIVEKA VIDYA BHATATHI, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
