Seq No.,UDISE Code,School Name,School Location
1,36230501710,MRR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
2,36230500706,ZPHS BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
3,36230500107,ZPHS BALAPUR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
4,36230501503,ZPHS MAMIDIPALLE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
5,36230500164,OXFORD GRAMMER HIGH SCHOOL (BALAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
6,36230500110,MANCHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
7,36230500718,BALA SIDDARTHA GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
8,36230500121,"SHINE MODEL SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
9,36230501707,ZPHS NADARGUL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
10,36230500506,ZPHS JILLEL GUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
11,36230500522,LORDS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
12,36230500717,ADARSH VIDYA BHAVAN,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
13,36230501507,ND HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
14,36230501120,SAI SREES NALANDA CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
15,36230501109,GOUTAMI TALENT HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
16,36230500162,SRI VIDYA VIKAS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
17,36230500182,VISHRA JUNIOR KALASHALA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
18,36230500604,ST.ALPHONSUS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
19,36230500161,S R DIGI SCHOOL HS (BALAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
20,36230500181,INDO AMERECAN HS,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
21,36230500722,TECNIA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
22,36230500508,SILVER DROPS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
23,36230501111,"NARAYANA CONCEPT HS, Chinthalkunta","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
24,36230500507,MEGA CITY GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
25,36230500614,SRI VIDYA VANI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
26,36230500516,KVR PRAGATHI GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
27,36230500518,"EKALAVYA SCHOOL, JILLALGUDA","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
28,36230500618,"SRI VIDYA HIGH SCHOOL, MEERPET","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
29,36230500168,ROSARY GRAMMER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
30,36230500108,JOHN MILTONS HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
31,36230500731,"PUDAMI THE ENG PS, SRI SHIV NARAYANA PURAM","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
32,36230500711,LORDS TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
33,36230500611,RATNA GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
34,36230500527,EMINENT CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
35,36230500628,ELITE JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
36,36230501112,S R DIGI SCHOOL ( MEERPET ),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
37,36230500728,"SRI GAYATRI HIGH SCHOOL, BADANGPET","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
38,36230500612,"KRISHNAVENI TALENT SCHOOL, MEERPET","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
39,36230501714,VIVEKANANDA VIDYA TALENT HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
40,36230500622,EXPERT SCHOOL (MEERPET),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
41,36230500627,CHAITHANYA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
42,36230501121,"BHASHYAM HIGH SCHOOL, Leninnagar","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
43,36230501108,THE LYCEUM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
44,36230500730,DILSUKHNAGAR HIGH SCHOOL BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
45,36230500609,SATYAM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
46,36230500608,T.R.R. HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
47,36230500817,ST HILLS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
48,36230501708,"ST. PAULS HIGH SCHOOL, NADARGUL","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
49,36230501712,VIGNAN INTEGRATED HS,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
50,36230500515,SRI GAYATRI E TECHNA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
51,36230500725,S.Y.REDDY TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
52,36230500167,TINY BUDS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
53,36230500132,"CRESCENT SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
54,36230500118,VIP`S INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
55,36230500720,SRI GAYATHRI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
56,36230500183,O S JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
57,36230501715,SRI VAMSHIDHAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
58,36230500130,GNANODAYA GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
59,36230501107,HOPE SLUM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
60,36230500708,SRI SARASWATHI SHISHU,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
61,36230501110,JOY HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
62,36230501718,ST.MATHEWS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
63,36230500714,MOUNT CARMEL GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
64,36230601651,AMERICAN TECHNO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
65,36230500626,"NAGARJUNA SCHOOL, MEERPET","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
66,36230501122,"SRI CHAITANYA SCHOOL, DAVUDHKHANGUDA","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
