Seq No.,UDISE Code,School Name,School Location
1,36232001210,T T W R JR COLLEGE B,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
2,36230700505,TSWREIS SOCIAL WELFARE,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
3,36230700408,"LOTUS LAP HS, HAYATHNAGAR BAGATH","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
4,36230700624,ZPHS SAHEB NAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
5,36230700625,ZPHS VANASTHALIPURAM,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
6,36230700260,ZPHS HAYATHNAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
7,36230700642,"RAVINDRA BHARATHI HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
8,36230700609,AIDED K.V.R JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
9,36230700274,"ST.ANNS SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
10,36230700296,SIDDARTHA GRAMMAR HIGH SC,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
11,36230700283,"LOYOLA MODEL HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
12,36230700445,NARAYANA CONCEPT,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
13,36230700419,VARUNS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
14,36230700704,nri high school,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
15,36230700701,"SRI CHAITANYA SCHOOL, ANMAGAL","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
16,36230700603,SR DIGI UPPER PRIMARY SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
17,36230700449,ALPHA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
18,36230700264,"VIVEKANANDA HIGH SCHOOL, HAYATH NAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
19,36230700276,"VIGNAN MODEL SCHOOL, CHINTAL KUNTA","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
20,36230700241,DILSUKHNAGAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
21,36230700287,SIVA SINDHU HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
22,36230700473,S R DIGI HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
23,36230700263,CHITHANYA BHARATHI GRAMMA,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
24,36230700606,RAGAVA TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
25,36230700501,"ST.JOSEPHS HIGH SCHOOL, hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
26,36230700280,"LOTUS LAP HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
27,36230700631,LITTLE FLOWER GRMSCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
28,36230700272,MEGA CITY UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
29,36230700266,"GOUTHAMI HIGH SCHOOL, HAYATH NAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
30,36230700269,WORD & DEED HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
31,36230700284,"SIDHARTHA HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
32,36230700641,LOTUS LAP HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
33,36230700267,HAYATHNAGAR MODEL HIGH SC,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
34,36230700104,"NEW HOPE SCHOOL, Kalvancha","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
35,36230700108,SLOKA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
