Seq No.,UDISE Code,School Name,School Location
1,36230900728,ANGLIST HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
2,36230900725,GOVT. HS IBRAHIMPATNAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
3,36230901603,ZPHS SHERIGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
4,36230900754,KGBV IBRAHIMPATAN HS,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
5,36230900103,ZPHS KONGARAKALAN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
6,36230902204,ZPHS ELIMINEDU,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
7,36230901104,ZPHS DANDUMAILARAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
8,36230900722,ZPHS CHERLAPATELGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
9,36230901505,ZPHS RAIPOLE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
10,36230900723,ZPHS IBRAHIMPATNAM GIRLS,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
11,36230900734,GURUKULA VIDYA PEETH HIGH,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
12,36230900749,"BRILIANT GRAMMAR HS, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
13,36230902902,ST ANNS HS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
14,36230900731,SHASTHA GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
15,36230900729,NAGARJUNA HIGH.SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
16,36230900752,KRISHNAVENI TELENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
17,36230900308,NALANDA GRAMMAR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
18,36230900310,TSMS BONGLOOR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
19,36230900726,TMREIS (G) IBRAHIMPATN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
20,36230900765,"SR DIGI SCHOOL, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
